Raw Data
Scope 1/1, Sample 1/9 (8-Aug-16 Bin5)
Method Function,Sample (S1)
0.9900,129,238.8,19.8,0.0015,,
0.9915,130,238.6,19.8,0.0010,,
0.9925,131,239.0,19.8,0.0010,,
0.9930,132,239.5,19.8,0.0005,,
0.9935,133,239.6,19.8,0.0005,,
0.9950,134,239.6,19.8,0.0010,,
0.9960,135,239.6,19.8,0.0010,,
0.9965,136,239.7,19.8,0.0005,,
0.9970,137,239.7,19.8,0.0005,,
0.9980,138,239.4,19.8,0.0010,,
0.9995,139,239.1,19.8,0.0010,,
1.0015,140,238.8,19.8,0.0015,,
1.0040,141,238.7,19.8,0.0020,,
1.0070,142,239.1,19.8,0.0025,,
1.0080,143,239.1,19.8,0.0010,,
1.0090,144,238.9,19.8,0.0010,,
1.0100,145,238.8,19.8,0.0010,,
1.0110,146,238.9,19.8,0.0010,,
1.0115,147,240.0,19.8,0.0010,,
Scope 1/1, Sample 4/9 (8-Aug-16 Bin8)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-101.0,19.5,NaN,,
0.0005,1,-103.9,19.4,0.0005,,
0.0020,2,-104.7,19.4,0.0015,,
0.0050,3,-105.2,19.4,0.0025,,
0.0090,4,-105.5,19.4,0.0035,,
0.0150,5,-105.4,19.4,0.0050,,
0.0235,6,-105.3,19.4,0.0075,,
0.0310,7,-104.5,19.4,0.0070,,
0.0395,8,-104.5,19.4,0.0075,,
0.0480,9,-103.6,19.4,0.0070,,
0.0565,10,-102.8,19.4,0.0070,,
0.0650,11,-102.1,19.4,0.0070,,
0.0725,12,-101.5,19.4,0.0070,,
0.0810,13,-101.0,19.4,0.0075,,
0.0895,14,-101.0,19.4,0.0075,,
0.0975,15,-100.5,19.4,0.0065,,
0.1060,16,-99.7,19.4,0.0070,,
0.1145,17,-99.4,19.4,0.0070,,
0.1220,18,-98.4,19.4,0.0070,,
0.1305,19,-98.0,19.4,0.0075,,
0.1390,20,-97.4,19.4,0.0070,,
0.1475,21,-96.6,19.4,0.0070,,
0.1560,22,-95.3,19.4,0.0070,,
0.1645,23,-94.8,19.4,0.0075,,
0.1720,24,-93.9,19.4,0.0070,,
0.1805,25,-93.1,19.4,0.0075,,
0.1885,26,-92.1,19.4,0.0065,,
0.1970,27,-91.4,19.4,0.0070,,
0.2055,28,-90.2,19.4,0.0070,,
0.2140,29,-89.6,19.4,0.0075,,
0.2215,30,-88.3,19.4,0.0070,,
0.2300,31,-87.2,19.4,0.0075,,
0.2385,32,-86.5,19.4,0.0070,,
0.2470,33,-85.2,19.4,0.0070,,
0.2555,34,-84.2,19.4,0.0070,,
0.2630,35,-83.2,19.4,0.0070,,
0.2715,36,-82.4,19.4,0.0075,,
0.2795,37,-81.8,19.4,0.0075,,
0.2880,38,-80.9,19.4,0.0070,,
0.2965,39,-79.9,19.4,0.0070,,
0.3050,40,-78.6,19.4,0.0070,,
0.3125,41,-77.4,19.4,0.0070,,
0.3210,42,-76.0,19.4,0.0075,,
0.3295,43,-74.5,19.4,0.0070,,
0.3380,44,-73.0,19.4,0.0070,,
0.3465,45,-71.1,19.4,0.0070,,
0.3545,46,-69.4,19.4,0.0075,,
0.3625,47,-67.6,19.4,0.0075,,
0.3705,48,-65.9,19.4,0.0075,,
0.3790,49,-64.1,19.4,0.0070,,
0.3875,50,-62.2,19.4,0.0070,,
0.3960,51,-60.6,19.4,0.0070,,
0.4035,52,-59.0,19.4,0.0070,,
0.4120,53,-57.2,19.4,0.0075,,
0.4205,54,-55.0,19.4,0.0070,,
0.4290,55,-52.6,19.4,0.0070,,
0.4375,56,-50.3,19.4,0.0070,,
0.4455,57,-47.4,19.4,0.0065,,
0.4535,58,-44.8,19.4,0.0075,,
0.4615,59,-41.5,19.4,0.0075,,
0.4700,60,-37.9,19.4,0.0075,,
0.4785,61,-33.5,19.4,0.0070,,
0.4870,62,-29.3,19.4,0.0070,,
0.4955,63,-24.9,19.4,0.0070,,
0.5030,64,-21.0,19.4,0.0070,,
0.5115,65,-16.8,19.4,0.0075,,
0.5200,66,-12.7,19.4,0.0070,,
0.5285,67,-9.3,19.4,0.0070,,
0.5365,68,-6.8,19.4,0.0065,,
0.5445,69,-4.2,19.4,0.0075,,
0.5530,70,-1.2,19.4,0.0075,,
0.5610,71,1.7,19.4,0.0075,,
0.5695,72,3.6,19.4,0.0070,,
0.5780,73,5.4,19.4,0.0070,,
0.5865,74,7.0,19.4,0.0070,,
0.5940,75,8.5,19.4,0.0070,,
0.6025,76,9.7,19.4,0.0075,,
0.6110,77,11.0,19.4,0.0070,,
0.6195,78,11.5,19.4,0.0070,,
0.6280,79,12.8,19.4,0.0070,,
0.6360,80,14.2,19.4,0.0075,,
0.6440,81,15.3,19.4,0.0075,,
0.6520,82,16.4,19.4,0.0075,,
0.6605,83,18.0,19.4,0.0070,,
0.6690,84,19.5,19.4,0.0070,,
0.6775,85,20.8,19.4,0.0070,,
0.6850,86,21.8,19.4,0.0070,,
0.6935,87,22.7,19.4,0.0075,,
0.7020,88,23.8,19.4,0.0075,,
0.7105,89,24.4,19.4,0.0070,,
0.7190,90,24.6,19.4,0.0070,,
0.7275,91,25.3,19.4,0.0075,,
0.7350,92,26.0,19.4,0.0070,,
0.7435,93,27.4,19.4,0.0075,,
0.7515,94,28.7,19.4,0.0065,,
0.7600,95,29.6,19.4,0.0070,,
0.7685,96,30.6,19.4,0.0070,,
0.7760,97,31.5,19.4,0.0070,,
0.7845,98,32.5,19.4,0.0075,,
0.7930,99,33.1,19.4,0.0075,,
0.8015,100,33.3,19.4,0.0070,,
0.8100,101,34.1,19.4,0.0070,,
0.8185,102,34.8,19.4,0.0070,,
0.8260,103,35.9,19.4,0.0070,,
0.8345,104,36.2,19.4,0.0075,,
0.8425,105,37.0,19.4,0.0075,,
0.8510,106,37.9,19.5,0.0070,,
0.8595,107,39.0,19.4,0.0070,,
0.8680,108,40.1,19.4,0.0075,,
0.8755,109,41.4,19.5,0.0070,,
0.8840,110,42.3,19.5,0.0075,,
0.8925,111,42.9,19.5,0.0070,,
0.9010,112,43.4,19.5,0.0070,,
0.9095,113,44.3,19.4,0.0070,,
0.9170,114,45.4,19.4,0.0070,,
0.9255,115,45.9,19.4,0.0075,,
0.9340,116,46.3,19.5,0.0075,,
0.9420,117,47.1,19.5,0.0065,,
0.9505,118,47.7,19.5,0.0070,,
0.9590,119,48.7,19.5,0.0070,,
0.9665,120,49.5,19.5,0.0070,,
0.9750,121,50.7,19.5,0.0075,,
0.9835,122,51.7,19.5,0.0075,,
0.9920,123,53.2,19.5,0.0070,,
1.0005,124,54.0,19.5,0.0070,,
1.0090,125,54.7,19.5,0.0075,,
1.0165,126,55.5,19.5,0.0070,,
1.0250,127,56.6,19.5,0.0075,,
1.0330,128,57.2,19.5,0.0065,,
1.0415,129,57.4,19.5,0.0070,,
1.0500,130,58.1,19.5,0.0070,,
1.0575,131,58.9,19.5,0.0070,,
1.0660,132,60.6,19.5,0.0075,,
1.0745,133,62.1,19.5,0.0075,,
1.0830,134,63.1,19.5,0.0070,,
1.0915,135,64.0,19.5,0.0070,,
1.1000,136,64.8,19.5,0.0075,,
1.1075,137,65.6,19.5,0.0070,,
1.1160,138,66.6,19.5,0.0075,,
1.1245,139,67.3,19.5,0.0070,,
1.1325,140,68.1,19.5,0.0065,,
1.1410,141,69.6,19.5,0.0070,,
1.1495,142,70.8,19.5,0.0075,,
1.1570,143,72.4,19.5,0.0070,,
1.1655,144,73.5,19.5,0.0075,,
1.1740,145,74.8,19.5,0.0070,,
1.1825,146,76.7,19.5,0.0070,,
1.1910,147,78.7,19.5,0.0070,,
1.1985,148,79.5,19.5,0.0070,,
1.2070,149,80.4,19.5,0.0075,,
1.2155,150,81.8,19.5,0.0075,,
1.2235,151,83.2,19.5,0.0065,,
1.2320,152,84.8,19.5,0.0070,,
1.2405,153,86.6,19.5,0.0070,,
1.2480,154,88.4,19.5,0.0070,,
1.2565,155,90.0,19.5,0.0075,,
1.2650,156,91.7,19.5,0.0070,,
1.2735,157,94.0,19.5,0.0070,,
1.2820,158,96.1,19.5,0.0070,,
1.2895,159,98.2,19.5,0.0070,,
1.2980,160,100.4,19.5,0.0075,,
1.3065,161,102.8,19.5,0.0070,,
1.3150,162,104.6,19.5,0.0070,,
1.3230,163,107.8,19.5,0.0065,,
1.3315,164,111.2,19.5,0.0075,,
1.3390,165,114.3,19.5,0.0070,,
1.3475,166,118.3,19.5,0.0075,,
1.3560,167,121.8,19.5,0.0070,,
1.3645,168,126.8,19.5,0.0070,,
1.3730,169,131.5,19.5,0.0070,,
1.3805,170,135.6,19.5,0.0070,,
1.3890,171,139.2,19.5,0.0075,,
1.3975,172,143.5,19.5,0.0075,,
1.4060,173,148.3,19.5,0.0070,,
1.4140,174,152.3,19.5,0.0065,,
1.4225,175,156.0,19.5,0.0070,,
1.4300,176,159.7,19.5,0.0070,,
1.4385,177,162.4,19.5,0.0075,,
1.4470,178,166.2,19.5,0.0075,,
1.4555,179,169.6,19.5,0.0070,,
1.4640,180,172.4,19.5,0.0070,,
1.4725,181,174.6,19.5,0.0075,,
1.4800,182,176.4,19.5,0.0070,,
1.4885,183,177.9,19.5,0.0075,,
1.4970,184,179.2,19.5,0.0070,,
1.5055,185,181.2,19.5,0.0070,,
1.5135,186,183.3,19.5,0.0065,,
1.5205,187,185.0,19.5,0.0065,,
1.5250,188,186.6,19.5,0.0040,,
1.5265,189,187.5,19.5,0.0010,,
1.5275,190,187.5,19.5,0.0010,,
1.5285,191,187.7,19.5,0.0010,,
1.5305,192,187.5,19.5,0.0020,,
1.5330,193,187.3,19.5,0.0025,,
1.5360,194,188.1,19.5,0.0025,,
1.5385,195,189.1,19.5,0.0020,,
1.5390,196,189.5,19.5,0.0005,,
1.5400,197,190.0,19.5,0.0010,,
1.5405,198,190.0,19.5,0.0005,,
1.5405,198,190.1,19.5,0.0000,,
Result,TitrationEP2
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,190.2,19.8,NaN,,
0.0005,1,189.4,19.8,0.0005,,
0.0020,2,189.9,19.8,0.0015,,
0.0050,3,190.1,19.8,0.0025,,
0.0090,4,190.6,19.8,0.0035,,
0.0150,5,191.1,19.8,0.0050,,
0.0235,6,191.8,19.8,0.0075,,
0.0310,7,193.1,19.8,0.0070,,
0.0395,8,194.4,19.8,0.0075,,
0.0480,9,195.2,19.8,0.0070,,
0.0565,10,196.1,19.8,0.0070,,
0.0650,11,197.3,19.8,0.0070,,
0.0725,12,198.2,19.8,0.0070,,
0.0810,13,199.2,19.8,0.0075,,
0.0895,14,200.0,19.8,0.0075,,
0.0975,15,200.3,19.8,0.0065,,
0.1060,16,200.8,19.8,0.0070,,
0.1145,17,201.5,19.8,0.0070,,
0.1220,18,202.2,19.8,0.0070,,
0.1305,19,203.0,19.8,0.0075,,
0.1390,20,204.0,19.8,0.0070,,
0.1475,21,204.4,19.8,0.0070,,
0.1560,22,205.2,19.8,0.0070,,
0.1645,23,205.9,19.8,0.0075,,
0.1720,24,206.5,19.8,0.0070,,
0.1805,25,207.5,19.8,0.0075,,
0.1885,26,208.4,19.8,0.0065,,
0.1970,27,208.7,19.8,0.0070,,
0.2055,28,209.7,19.8,0.0070,,
0.2130,29,209.9,19.8,0.0070,,
0.2215,30,210.9,19.8,0.0075,,
0.2300,31,211.3,19.8,0.0070,,
0.2385,32,212.1,19.8,0.0070,,
0.2470,33,212.9,19.8,0.0070,,
0.2555,34,213.3,19.8,0.0070,,
0.2630,35,213.8,19.8,0.0070,,
0.2715,36,214.3,19.8,0.0075,,
0.2795,37,214.8,19.8,0.0075,,
0.2880,38,215.4,19.8,0.0070,,
0.2965,39,215.8,19.8,0.0070,,
0.3050,40,216.2,19.8,0.0075,,
0.3125,41,216.2,19.8,0.0070,,
0.3210,42,216.2,19.8,0.0075,,
0.3295,43,217.2,19.8,0.0070,,
0.3380,44,217.8,19.8,0.0070,,
0.3465,45,217.7,19.8,0.0070,,
0.3540,46,218.3,19.8,0.0070,,
0.3625,47,218.8,19.8,0.0075,,
0.3710,48,218.6,19.8,0.0075,,
0.3790,49,219.0,19.8,0.0065,,
0.3875,50,219.7,19.8,0.0070,,
0.3960,51,219.9,19.8,0.0070,,
0.4035,52,220.1,19.8,0.0070,,
0.4120,53,220.5,19.8,0.0075,,
0.4205,54,220.9,19.8,0.0070,,
0.4290,55,221.3,19.8,0.0070,,
0.4375,56,221.7,19.8,0.0070,,
0.4460,57,222.2,19.8,0.0075,,
0.4535,58,222.8,19.8,0.0070,,
0.4620,59,223.1,19.8,0.0075,,
0.4700,60,223.5,19.8,0.0065,,
0.4785,61,223.9,19.8,0.0070,,
0.4870,62,224.5,19.8,0.0070,,
0.4945,63,224.6,19.8,0.0070,,
0.5030,64,225.1,19.8,0.0075,,
0.5115,65,225.7,19.8,0.0075,,
0.5200,66,226.1,19.8,0.0070,,
0.5285,67,226.2,19.8,0.0070,,
0.5370,68,226.6,19.8,0.0070,,
0.5445,69,226.7,19.8,0.0070,,
0.5530,70,227.3,19.8,0.0075,,
0.5615,71,227.5,19.8,0.0070,,
0.5695,72,227.4,19.8,0.0065,,
0.5780,73,227.2,19.8,0.0070,,
0.5855,74,227.8,19.8,0.0070,,
0.5940,75,228.4,19.8,0.0075,,
0.6025,76,228.5,19.8,0.0075,,
0.6110,77,228.9,19.8,0.0070,,
0.6195,78,229.2,19.8,0.0070,,
0.6280,79,229.3,19.8,0.0070,,
0.6355,80,229.5,19.8,0.0070,,
0.6440,81,229.2,19.8,0.0075,,
0.6525,82,229.5,19.8,0.0070,,
0.6605,83,230.0,19.8,0.0065,,
0.6690,84,230.0,19.8,0.0070,,
0.6775,85,230.1,19.8,0.0075,,
0.6850,86,230.5,19.8,0.0070,,
0.6935,87,231.1,19.8,0.0075,,
0.7020,88,231.7,19.8,0.0070,,
0.7105,89,232.1,19.8,0.0070,,
0.7190,90,232.4,19.8,0.0070,,
0.7265,91,232.0,19.8,0.0070,,
0.7350,92,232.6,19.8,0.0075,,
0.7435,93,232.6,19.8,0.0075,,
0.7520,94,233.2,19.8,0.0070,,
0.7600,95,233.6,19.8,0.0065,,
0.7685,96,233.9,19.8,0.0070,,
0.7760,97,234.1,19.8,0.0070,,
0.7845,98,234.2,19.8,0.0075,,
0.7930,99,234.6,19.8,0.0070,,
0.8015,100,234.8,19.8,0.0070,,
0.8100,101,235.1,19.8,0.0070,,
0.8185,102,235.3,19.8,0.0070,,
0.8260,103,235.5,19.8,0.0070,,
0.8345,104,235.7,19.8,0.0075,,
0.8430,105,235.8,19.8,0.0070,,
0.8510,106,236.1,19.8,0.0065,,
0.8595,107,236.3,19.8,0.0070,,
0.8680,108,236.5,19.8,0.0075,,
0.8755,109,236.6,19.8,0.0070,,
0.8840,110,236.1,19.8,0.0075,,
0.8925,111,236.0,19.8,0.0070,,
0.9010,112,236.2,19.8,0.0070,,
0.9095,113,236.4,19.8,0.0070,,
0.9170,114,236.6,19.8,0.0070,,
0.9255,115,236.8,19.8,0.0075,,
0.9340,116,237.2,19.8,0.0070,,
0.9415,117,237.3,19.8,0.0060,,
0.9490,118,237.8,19.8,0.0060,,
0.9570,119,237.9,19.8,0.0075,,
0.9645,120,238.4,19.8,0.0070,,
0.9730,121,238.8,19.8,0.0075,,
0.9780,122,239.1,19.8,0.0040,,
0.9785,123,239.3,19.8,0.0005,,
0.9795,124,239.3,19.8,0.0010,,
0.9800,125,239.2,19.8,0.0005,,
0.9810,126,239.4,19.8,0.0010,,
0.9825,127,239.4,19.8,0.0010,,
0.9845,128,238.9,19.8,0.0015,,
0.9870,129,239.2,19.8,0.0020,,
0.9880,130,239.5,19.8,0.0010,,
0.9890,131,239.5,19.8,0.0010,,
0.9900,132,239.4,19.8,0.0010,,
0.9910,133,238.9,19.8,0.0010,,
0.9925,134,238.5,19.8,0.0010,,
0.9945,135,238.8,19.8,0.0015,,
0.9960,136,238.7,19.8,0.0015,,
0.9970,137,238.6,19.8,0.0010,,
0.9975,138,238.6,19.8,0.0005,,
0.9980,139,238.7,19.8,0.0005,,
0.9990,140,238.8,19.8,0.0010,,
1.0000,141,239.2,19.8,0.0010,,
1.0010,142,239.4,19.8,0.0010,,
1.0015,143,239.8,19.8,0.0005,,
1.0025,144,239.8,19.8,0.0010,,
1.0035,145,239.9,19.8,0.0010,,
1.0045,146,239.9,19.8,0.0010,,
1.0055,147,239.9,19.8,0.0010,,
1.0060,148,240.0,19.8,0.0005,,
1.0070,149,240.0,19.8,0.0010,,
1.0075,150,240.0,19.8,0.0005,,
1.0085,151,240.0,19.8,0.0010,,
Scope 1/1, Sample 5/9 (8-Aug-16 Bin9)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-99.4,19.5,NaN,,
0.0005,1,-103.0,19.4,0.0005,,
0.0020,2,-103.1,19.4,0.0015,,
0.0050,3,-102.9,19.4,0.0025,,
0.0085,4,-102.7,19.4,0.0030,,
0.0145,5,-102.7,19.4,0.0050,,
0.0230,6,-103.0,19.4,0.0075,,
0.0305,7,-102.7,19.4,0.0070,,
0.0390,8,-102.6,19.4,0.0075,,
0.0475,9,-101.9,19.4,0.0070,,
0.0560,10,-101.0,19.4,0.0070,,
0.0645,11,-100.0,19.4,0.0070,,
0.0720,12,-99.4,19.4,0.0070,,
0.0805,13,-99.0,19.4,0.0075,,
0.0885,14,-98.3,19.4,0.0075,,
0.0970,15,-97.8,19.4,0.0070,,
0.1055,16,-97.0,19.4,0.0070,,
0.1140,17,-96.7,19.4,0.0070,,
0.1215,18,-96.2,19.4,0.0070,,
0.1300,19,-96.0,19.4,0.0075,,
0.1385,20,-95.5,19.4,0.0070,,
0.1470,21,-94.7,19.4,0.0070,,
0.1555,22,-94.0,19.4,0.0070,,
0.1635,23,-93.2,19.4,0.0075,,
0.1715,24,-92.4,19.4,0.0075,,
0.1795,25,-91.6,19.4,0.0075,,
0.1880,26,-90.4,19.4,0.0070,,
0.1965,27,-89.2,19.4,0.0070,,
0.2050,28,-88.1,19.4,0.0070,,
0.2125,29,-87.9,19.4,0.0070,,
0.2210,30,-86.8,19.4,0.0075,,
0.2295,31,-85.4,19.4,0.0075,,
0.2380,32,-84.6,19.4,0.0070,,
0.2465,33,-83.1,19.4,0.0070,,
0.2550,34,-82.0,19.4,0.0070,,
0.2625,35,-81.0,19.4,0.0070,,
0.2710,36,-79.8,19.4,0.0075,,
0.2790,37,-78.6,19.4,0.0065,,
0.2875,38,-77.5,19.4,0.0070,,
0.2960,39,-76.3,19.4,0.0070,,
0.3045,40,-75.2,19.4,0.0075,,
0.3120,41,-73.7,19.4,0.0070,,
0.3205,42,-72.3,19.4,0.0075,,
0.3290,43,-71.0,19.4,0.0070,,
0.3375,44,-69.7,19.4,0.0070,,
0.3460,45,-67.9,19.4,0.0070,,
0.3535,46,-66.5,19.4,0.0070,,
0.3620,47,-65.0,19.4,0.0075,,
0.3700,48,-63.4,19.4,0.0075,,
0.3785,49,-61.9,19.4,0.0070,,
0.3870,50,-60.2,19.4,0.0070,,
0.3955,51,-58.4,19.4,0.0070,,
0.4030,52,-56.4,19.4,0.0070,,
0.4115,53,-54.1,19.4,0.0075,,
0.4200,54,-51.6,19.4,0.0075,,
0.4285,55,-49.3,19.4,0.0070,,
0.4370,56,-46.5,19.4,0.0070,,
0.4450,57,-43.5,19.4,0.0065,,
0.4530,58,-40.6,19.4,0.0075,,
0.4615,59,-37.0,19.4,0.0075,,
0.4695,60,-33.1,19.4,0.0065,,
0.4780,61,-29.1,19.4,0.0070,,
0.4865,62,-24.9,19.4,0.0070,,
0.4940,63,-21.0,19.4,0.0070,,
0.5025,64,-16.8,19.4,0.0075,,
0.5110,65,-12.1,19.4,0.0075,,
0.5195,66,-8.5,19.4,0.0070,,
0.5280,67,-5.5,19.4,0.0070,,
0.5365,68,-1.7,19.4,0.0070,,
0.5440,69,1.0,19.4,0.0070,,
0.5525,70,2.3,19.4,0.0075,,
0.5605,71,4.2,19.4,0.0065,,
0.5690,72,5.5,19.4,0.0070,,
0.5775,73,6.6,19.4,0.0070,,
0.5850,74,8.0,19.4,0.0070,,
0.5935,75,9.9,19.4,0.0075,,
0.6020,76,10.7,19.4,0.0075,,
0.6105,77,12.2,19.4,0.0070,,
0.6190,78,13.5,19.4,0.0070,,
0.6275,79,14.9,19.4,0.0070,,
0.6350,80,15.7,19.4,0.0070,,
0.6435,81,17.1,19.4,0.0075,,
0.6520,82,18.6,19.4,0.0070,,
0.6600,83,19.7,19.4,0.0065,,
0.6685,84,20.4,19.4,0.0070,,
0.6770,85,20.9,19.4,0.0070,,
0.6845,86,21.9,19.4,0.0070,,
0.6930,87,23.0,19.4,0.0075,,
0.7015,88,23.4,19.4,0.0075,,
0.7100,89,24.8,19.4,0.0070,,
0.7185,90,26.1,19.4,0.0070,,
0.7270,91,27.0,19.4,0.0075,,
0.7345,92,27.6,19.4,0.0070,,
0.7430,93,28.8,19.4,0.0075,,
0.7510,94,30.1,19.4,0.0065,,
0.7595,95,31.1,19.4,0.0070,,
0.7680,96,31.9,19.4,0.0070,,
0.7755,97,32.6,19.4,0.0070,,
0.7840,98,33.2,19.4,0.0075,,
0.7925,99,33.3,19.4,0.0075,,
0.8010,100,34.8,19.4,0.0070,,
0.8095,101,35.1,19.4,0.0070,,
0.8180,102,35.9,19.4,0.0070,,
0.8255,103,36.7,19.4,0.0070,,
0.8340,104,37.2,19.4,0.0075,,
0.8420,105,37.8,19.4,0.0065,,
0.8505,106,38.8,19.4,0.0070,,
0.8590,107,39.7,19.4,0.0070,,
0.8675,108,40.0,19.4,0.0075,,
0.8750,109,41.0,19.4,0.0070,,
0.8835,110,41.9,19.4,0.0075,,
0.8920,111,43.4,19.4,0.0070,,
0.9005,112,44.6,19.4,0.0070,,
0.9090,113,45.4,19.4,0.0070,,
0.9165,114,46.2,19.4,0.0070,,
0.9250,115,47.0,19.4,0.0075,,
0.9335,116,47.6,19.4,0.0070,,
0.9415,117,47.7,19.4,0.0065,,
0.9500,118,48.1,19.4,0.0070,,
0.9585,119,49.2,19.4,0.0075,,
0.9660,120,49.9,19.4,0.0070,,
0.9745,121,50.5,19.4,0.0075,,
0.9830,122,52.0,19.4,0.0070,,
0.9915,123,53.1,19.4,0.0070,,
1.0000,124,54.1,19.4,0.0070,,
1.0075,125,55.2,19.4,0.0070,,
1.0160,126,56.2,19.4,0.0075,,
1.0245,127,57.1,19.4,0.0075,,
1.0325,128,58.0,19.4,0.0065,,
1.0410,129,58.8,19.4,0.0070,,
1.0495,130,59.5,19.4,0.0070,,
1.0570,131,60.5,19.4,0.0070,,
1.0655,132,61.6,19.4,0.0075,,
1.0740,133,62.3,19.4,0.0070,,
1.0825,134,63.5,19.4,0.0070,,
1.0910,135,64.2,19.4,0.0070,,
1.0995,136,65.2,19.4,0.0070,,
1.1070,137,66.7,19.4,0.0070,,
1.1155,138,67.6,19.4,0.0075,,
1.1235,139,68.5,19.4,0.0065,,
1.1320,140,69.7,19.4,0.0070,,
1.1405,141,70.9,19.4,0.0070,,
1.1490,142,72.0,19.4,0.0075,,
1.1565,143,73.4,19.4,0.0070,,
1.1650,144,74.3,19.4,0.0075,,
1.1735,145,74.9,19.4,0.0070,,
1.1820,146,75.7,19.4,0.0070,,
1.1905,147,77.0,19.4,0.0070,,
1.1980,148,78.3,19.4,0.0070,,
1.2065,149,80.0,19.4,0.0075,,
1.2145,150,81.0,19.4,0.0075,,
1.2230,151,83.1,19.4,0.0070,,
1.2315,152,84.7,19.4,0.0070,,
1.2400,153,87.2,19.4,0.0070,,
1.2475,154,88.0,19.4,0.0070,,
1.2560,155,89.9,19.4,0.0075,,
1.2645,156,92.1,19.4,0.0070,,
1.2730,157,94.7,19.4,0.0070,,
1.2815,158,96.9,19.4,0.0070,,
1.2900,159,99.6,19.4,0.0075,,
1.2975,160,102.4,19.4,0.0070,,
1.3060,161,104.9,19.4,0.0075,,
1.3140,162,107.6,19.4,0.0065,,
1.3225,163,109.9,19.4,0.0070,,
1.3310,164,113.1,19.4,0.0070,,
1.3385,165,117.4,19.4,0.0070,,
1.3470,166,121.7,19.4,0.0075,,
1.3555,167,125.4,19.4,0.0070,,
1.3640,168,128.9,19.4,0.0070,,
1.3725,169,132.9,19.4,0.0070,,
1.3810,170,137.1,19.4,0.0075,,
1.3885,171,141.4,19.4,0.0070,,
1.3970,172,146.0,19.4,0.0075,,
1.4055,173,150.8,19.4,0.0070,,
1.4135,174,154.7,19.4,0.0065,,
1.4220,175,159.2,19.4,0.0070,,
1.4300,176,162.2,19.4,0.0075,,
1.4380,177,165.6,19.4,0.0075,,
1.4465,178,168.3,19.4,0.0075,,
1.4550,179,170.8,19.4,0.0070,,
1.4635,180,173.7,19.4,0.0070,,
1.4720,181,175.1,19.4,0.0070,,
1.4795,182,176.8,19.4,0.0070,,
1.4880,183,179.2,19.4,0.0075,,
1.4960,184,181.6,19.4,0.0065,,
1.5045,185,183.5,19.4,0.0070,,
1.5125,186,184.9,19.4,0.0065,,
1.5175,187,186.1,19.4,0.0045,,
1.5195,188,187.2,19.4,0.0020,,
1.5205,189,187.7,19.4,0.0010,,
1.5215,190,187.9,19.4,0.0010,,
1.5225,191,188.2,19.4,0.0010,,
1.5250,192,188.4,19.4,0.0020,,
1.5275,193,188.7,19.4,0.0025,,
1.5320,194,189.1,19.4,0.0040,,
1.5330,195,189.6,19.4,0.0010,,
1.5340,196,189.6,19.4,0.0010,,
1.5345,197,190.0,19.4,0.0005,,
Result,TitrationEP2
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,190.0,19.7,NaN,,
0.0005,1,189.8,19.7,0.0005,,
0.0020,2,190.1,19.7,0.0015,,
0.0050,3,190.4,19.7,0.0025,,
0.0085,4,190.7,19.7,0.0030,,
0.0145,5,191.4,19.7,0.0050,,
0.0230,6,192.3,19.7,0.0075,,
0.0305,7,193.3,19.7,0.0070,,
0.0390,8,194.1,19.7,0.0075,,
0.0475,9,194.6,19.7,0.0070,,
0.0560,10,195.4,19.7,0.0070,,
0.0645,11,196.4,19.7,0.0070,,
0.0720,12,197.3,19.7,0.0070,,
0.0805,13,198.2,19.7,0.0075,,
0.0890,14,199.1,19.7,0.0075,,
0.0970,15,200.0,19.7,0.0065,,
0.1055,16,200.8,19.7,0.0070,,
0.1140,17,202.0,19.7,0.0070,,
0.1215,18,203.0,19.7,0.0070,,
0.1300,19,203.8,19.7,0.0075,,
0.1385,20,204.9,19.7,0.0070,,
0.1470,21,205.6,19.7,0.0070,,
0.1555,22,206.4,19.7,0.0070,,
0.1640,23,207.0,19.7,0.0075,,
0.1715,24,207.4,19.7,0.0070,,
0.1800,25,207.5,19.7,0.0075,,
0.1880,26,208.0,19.7,0.0065,,
0.1965,27,208.7,19.7,0.0070,,
0.2050,28,209.0,19.7,0.0070,,
0.2125,29,209.5,19.7,0.0070,,
0.2210,30,210.3,19.7,0.0075,,
0.2295,31,211.5,19.7,0.0070,,
0.2380,32,212.4,19.7,0.0070,,
0.2465,33,212.9,19.7,0.0070,,
0.2550,34,213.4,19.7,0.0075,,
0.2625,35,213.9,19.7,0.0070,,
0.2710,36,213.9,19.7,0.0075,,
0.2795,37,213.9,19.7,0.0070,,
0.2875,38,214.2,19.7,0.0065,,
0.2960,39,214.9,19.7,0.0070,,
0.3040,40,215.4,19.7,0.0075,,
0.3120,41,216.3,19.7,0.0075,,
0.3205,42,216.5,19.7,0.0075,,
0.3290,43,217.0,19.7,0.0070,,
0.3375,44,217.4,19.7,0.0070,,
0.3460,45,218.2,19.7,0.0070,,
0.3535,46,218.7,19.7,0.0070,,
0.3620,47,219.3,19.7,0.0075,,
