Raw Data
Scope 1/1, Sample 1/9 (2-Aug-16 Bin 10)
Method Function,Sample (S1)
0.8580,107,237.8,22.2,0.0070,,
0.8665,108,237.3,22.2,0.0070,,
0.8740,109,237.5,22.2,0.0070,,
0.8825,110,238.3,22.3,0.0075,,
0.8830,111,238.7,22.3,0.0005,,
0.8835,112,238.9,22.2,0.0005,,
0.8840,113,238.7,22.3,0.0005,,
0.8845,114,238.7,22.3,0.0005,,
0.8850,115,238.4,22.3,0.0005,,
0.8850,116,238.6,22.3,0.0000,,
0.8865,117,238.7,22.3,0.0015,,
0.8880,118,239.0,22.3,0.0010,,
0.8910,119,238.9,22.3,0.0025,,
0.8925,120,238.9,22.3,0.0010,,
0.8930,121,238.8,22.3,0.0005,,
0.8945,122,239.1,22.2,0.0015,,
0.8955,123,239.1,22.3,0.0010,,
0.8970,124,239.0,22.3,0.0010,,
0.8975,125,239.2,22.3,0.0005,,
0.8990,126,239.3,22.3,0.0010,,
0.9005,127,239.1,22.2,0.0010,,
0.9020,128,239.4,22.3,0.0015,,
0.9035,129,239.4,22.3,0.0015,,
0.9040,130,239.1,22.3,0.0005,,
0.9050,131,239.4,22.3,0.0010,,
0.9060,132,239.1,22.3,0.0010,,
0.9075,133,239.0,22.3,0.0015,,
0.9085,134,238.4,22.3,0.0010,,
0.9105,135,238.6,22.3,0.0020,,
0.9115,136,238.9,22.3,0.0010,,
0.9120,137,239.1,22.3,0.0005,,
0.9130,138,238.8,22.3,0.0010,,
0.9140,139,239.4,22.3,0.0010,,
0.9145,140,239.3,22.2,0.0005,,
0.9150,141,239.6,22.3,0.0005,,
0.9160,142,239.3,22.3,0.0010,,
0.9170,143,239.2,22.3,0.0010,,
0.9180,144,238.8,22.3,0.0010,,
0.9190,145,239.2,22.3,0.0010,,
0.9195,146,239.8,22.3,0.0005,,
0.9205,147,239.9,22.3,0.0010,,
0.9215,148,239.9,22.2,0.0010,,
0.9225,149,239.9,22.3,0.0010,,
0.9230,150,239.6,22.3,0.0005,,
0.9240,151,239.3,22.3,0.0010,,
0.9255,152,239.2,22.3,0.0015,,
0.9280,153,238.9,22.3,0.0025,,
0.9305,154,240.0,22.3,0.0025,,
Scope 1/1, Sample 4/9 (2-Aug-16 Header1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-97.9,22.0,NaN,,
0.0005,1,-101.2,21.9,0.0005,,
0.0020,2,-101.7,21.8,0.0015,,
0.0050,3,-101.8,21.8,0.0025,,
0.0085,4,-101.6,21.8,0.0030,,
0.0150,5,-101.1,21.8,0.0055,,
0.0235,6,-100.9,21.8,0.0070,,
0.0310,7,-100.9,21.8,0.0070,,
0.0395,8,-100.5,21.8,0.0075,,
0.0480,9,-99.9,21.8,0.0075,,
0.0565,10,-99.4,21.8,0.0070,,
0.0645,11,-99.0,21.8,0.0065,,
0.0730,12,-99.1,21.8,0.0070,,
0.0805,13,-98.5,21.8,0.0070,,
0.0890,14,-98.1,21.8,0.0075,,
0.0975,15,-97.7,21.8,0.0075,,
0.1060,16,-96.1,21.8,0.0070,,
0.1145,17,-96.1,21.8,0.0070,,
0.1230,18,-95.4,21.8,0.0070,,
0.1305,19,-94.5,21.8,0.0070,,
0.1390,20,-93.9,21.8,0.0075,,
0.1470,21,-93.3,21.8,0.0075,,
0.1555,22,-92.9,21.8,0.0070,,
0.1640,23,-92.0,21.8,0.0070,,
0.1725,24,-91.1,21.8,0.0070,,
0.1800,25,-89.5,21.8,0.0070,,
0.1885,26,-88.6,21.8,0.0075,,
0.1970,27,-87.8,21.8,0.0075,,
0.2050,28,-86.9,21.8,0.0065,,
0.2135,29,-86.2,21.8,0.0070,,
0.2220,30,-85.0,21.8,0.0070,,
0.2305,31,-84.2,21.8,0.0075,,
0.2380,32,-83.0,21.8,0.0070,,
0.2465,33,-82.0,21.8,0.0075,,
0.2550,34,-81.1,21.8,0.0070,,
0.2635,35,-80.3,21.8,0.0070,,
0.2715,36,-78.8,21.8,0.0065,,
0.2800,37,-77.9,21.8,0.0070,,
0.2875,38,-77.2,21.8,0.0070,,
0.2960,39,-76.5,21.8,0.0075,,
0.3045,40,-75.2,21.8,0.0075,,
0.3130,41,-73.8,21.8,0.0070,,
0.3215,42,-72.4,21.8,0.0070,,
0.3300,43,-71.2,21.8,0.0070,,
0.3375,44,-69.7,21.8,0.0070,,
0.3460,45,-68.2,21.8,0.0075,,
0.3540,46,-66.3,21.8,0.0075,,
0.3625,47,-64.6,21.8,0.0070,,
0.3710,48,-62.8,21.8,0.0070,,
0.3795,49,-60.6,21.8,0.0070,,
0.3870,50,-59.2,21.8,0.0070,,
0.3955,51,-57.3,21.8,0.0075,,
0.4040,52,-55.3,21.8,0.0075,,
0.4125,53,-52.6,21.8,0.0070,,
0.4205,54,-50.3,21.8,0.0065,,
0.4290,55,-48.0,21.8,0.0070,,
0.4370,56,-45.6,21.8,0.0075,,
0.4450,57,-43.3,21.8,0.0075,,
0.4535,58,-40.9,21.8,0.0070,,
0.4620,59,-38.0,21.8,0.0070,,
0.4705,60,-34.3,21.8,0.0070,,
0.4790,61,-30.0,21.8,0.0070,,
0.4865,62,-26.8,21.8,0.0070,,
0.4950,63,-22.5,21.8,0.0075,,
0.5035,64,-18.7,21.8,0.0070,,
0.5115,65,-14.8,21.8,0.0065,,
0.5200,66,-10.9,21.8,0.0070,,
0.5285,67,-8.0,21.8,0.0070,,
0.5360,68,-5.2,21.8,0.0070,,
0.5445,69,-1.1,21.8,0.0075,,
0.5530,70,0.9,21.8,0.0075,,
0.5615,71,1.7,21.8,0.0070,,
0.5700,72,3.2,21.9,0.0070,,
0.5780,73,4.8,21.8,0.0065,,
0.5860,74,6.3,21.8,0.0075,,
0.5940,75,7.5,21.9,0.0075,,
0.6025,76,9.1,21.8,0.0075,,
0.6110,77,10.2,21.9,0.0070,,
0.6195,78,11.7,21.9,0.0070,,
0.6280,79,13.2,21.9,0.0070,,
0.6355,80,14.2,21.9,0.0070,,
0.6440,81,15.3,21.9,0.0075,,
0.6525,82,17.0,21.9,0.0070,,
0.6605,83,18.0,21.9,0.0065,,
0.6690,84,19.1,21.9,0.0070,,
0.6775,85,20.0,21.9,0.0070,,
0.6850,86,20.8,21.9,0.0070,,
0.6935,87,21.8,21.9,0.0075,,
0.7020,88,22.5,21.9,0.0075,,
0.7105,89,23.7,21.9,0.0070,,
0.7190,90,25.0,21.9,0.0070,,
0.7275,91,26.1,21.9,0.0075,,
0.7350,92,27.1,21.9,0.0070,,
0.7435,93,28.0,21.9,0.0075,,
0.7515,94,28.8,21.9,0.0065,,
0.7600,95,29.6,21.9,0.0070,,
0.7685,96,30.6,21.9,0.0070,,
0.7770,97,31.3,21.9,0.0070,,
0.7845,98,31.7,21.9,0.0070,,
0.7930,99,32.6,21.9,0.0075,,
0.8015,100,33.8,21.9,0.0075,,
0.8100,101,34.8,21.9,0.0070,,
0.8180,102,35.7,21.9,0.0065,,
0.8265,103,36.5,21.9,0.0070,,
0.8340,104,37.2,21.9,0.0070,,
0.8425,105,38.1,21.9,0.0075,,
0.8510,106,38.9,21.9,0.0075,,
0.8595,107,39.7,21.9,0.0070,,
0.8680,108,40.5,21.9,0.0070,,
0.8765,109,41.4,21.9,0.0070,,
0.8840,110,42.0,21.9,0.0070,,
0.8920,111,42.6,21.9,0.0075,,
0.9005,112,42.6,21.9,0.0075,,
0.9090,113,43.3,21.9,0.0070,,
0.9175,114,44.3,21.9,0.0070,,
0.9260,115,45.1,21.9,0.0070,,
0.9345,116,45.9,21.9,0.0075,,
0.9420,117,47.2,21.9,0.0070,,
0.9505,118,48.3,21.9,0.0075,,
0.9585,119,49.2,21.9,0.0065,,
0.9670,120,49.8,21.9,0.0070,,
0.9755,121,50.4,21.9,0.0070,,
0.9840,122,50.7,21.9,0.0075,,
0.9915,123,51.5,21.9,0.0070,,
1.0000,124,52.2,21.9,0.0075,,
1.0085,125,53.2,21.9,0.0070,,
1.0170,126,54.5,21.9,0.0070,,
1.0250,127,55.9,21.9,0.0065,,
1.0335,128,56.7,21.9,0.0075,,
1.0410,129,57.6,21.9,0.0070,,
1.0495,130,58.8,21.9,0.0075,,
1.0580,131,59.7,21.9,0.0070,,
1.0665,132,60.6,21.9,0.0070,,
1.0750,133,61.6,21.9,0.0070,,
1.0825,134,62.4,21.9,0.0070,,
1.0910,135,63.1,21.9,0.0075,,
1.0995,136,63.9,21.9,0.0070,,
1.1080,137,64.5,21.9,0.0070,,
1.1160,138,65.3,21.9,0.0065,,
1.1245,139,66.5,21.9,0.0070,,
1.1320,140,67.4,21.9,0.0070,,
1.1405,141,68.3,21.9,0.0075,,
1.1490,142,69.7,21.9,0.0075,,
1.1575,143,71.1,21.9,0.0070,,
1.1660,144,72.5,21.9,0.0070,,
1.1745,145,73.7,21.9,0.0070,,
1.1820,146,74.0,21.9,0.0070,,
1.1905,147,75.6,21.9,0.0075,,
1.1990,148,77.1,21.9,0.0075,,
1.2070,149,78.3,21.9,0.0065,,
1.2155,150,79.8,21.9,0.0070,,
1.2240,151,82.0,21.9,0.0070,,
1.2315,152,83.4,21.9,0.0070,,
1.2400,153,85.3,21.9,0.0075,,
1.2485,154,86.7,21.9,0.0075,,
1.2570,155,88.1,21.9,0.0070,,
1.2650,156,90.0,21.9,0.0065,,
1.2735,157,92.2,21.9,0.0070,,
1.2810,158,94.0,21.9,0.0070,,
1.2895,159,96.3,21.9,0.0075,,
1.2980,160,98.7,21.9,0.0075,,
1.3065,161,101.7,21.9,0.0070,,
1.3150,162,104.9,21.9,0.0070,,
1.3235,163,107.2,21.9,0.0070,,
1.3310,164,109.9,21.9,0.0070,,
1.3395,165,113.6,21.9,0.0075,,
1.3475,166,117.5,21.9,0.0075,,
1.3560,167,122.7,21.9,0.0070,,
1.3645,168,127.2,21.9,0.0070,,
1.3730,169,131.5,21.9,0.0070,,
1.3805,170,135.3,21.9,0.0070,,
1.3890,171,140.6,21.9,0.0075,,
1.3975,172,145.7,21.9,0.0075,,
1.4060,173,149.7,21.9,0.0070,,
1.4140,174,153.9,21.9,0.0065,,
1.4225,175,158.3,21.9,0.0070,,
1.4305,176,161.8,21.9,0.0075,,
1.4385,177,165.4,21.9,0.0075,,
1.4470,178,168.8,21.9,0.0075,,
1.4555,179,171.9,21.9,0.0070,,
1.4640,180,174.5,21.9,0.0070,,
1.4725,181,176.4,21.9,0.0070,,
1.4810,182,177.7,21.9,0.0075,,
1.4885,183,179.9,21.9,0.0070,,
1.4965,184,181.6,21.9,0.0075,,
1.5040,185,183.3,21.9,0.0060,,
1.5090,186,184.7,21.9,0.0040,,
1.5110,187,185.7,21.9,0.0015,,
1.5120,188,186.1,21.9,0.0010,,
1.5135,189,186.4,21.9,0.0015,,
1.5150,190,186.9,21.9,0.0015,,
1.5175,191,187.2,21.9,0.0020,,
1.5205,192,188.0,21.9,0.0025,,
1.5230,193,188.3,21.9,0.0020,,
1.5245,194,188.3,21.9,0.0015,,
1.5250,195,188.9,21.9,0.0005,,
1.5255,196,189.4,21.9,0.0005,,
1.5260,196,190.1,21.9,0.0025,,
Result,TitrationEP2
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,189.6,22.2,NaN,,
0.0005,1,190.4,22.2,0.0005,,
0.0020,2,190.4,22.2,0.0015,,
0.0050,3,190.5,22.2,0.0025,,
0.0085,4,190.7,22.2,0.0030,,
0.0150,5,190.7,22.2,0.0055,,
0.0235,6,191.4,22.2,0.0075,,
0.0310,7,192.3,22.2,0.0070,,
0.0395,8,193.6,22.2,0.0075,,
0.0480,9,194.7,22.2,0.0070,,
0.0565,10,195.6,22.2,0.0070,,
0.0645,11,196.7,22.2,0.0065,,
0.0730,12,197.6,22.2,0.0075,,
0.0805,13,198.7,22.2,0.0070,,
0.0890,14,200.3,22.2,0.0075,,
0.0975,15,201.4,22.2,0.0070,,
0.1060,16,202.1,22.2,0.0070,,
0.1145,17,202.7,22.2,0.0070,,
0.1230,18,202.9,22.2,0.0075,,
0.1305,19,203.7,22.2,0.0070,,
0.1390,20,204.8,22.2,0.0075,,
0.1470,21,205.6,22.2,0.0075,,
0.1555,22,206.3,22.2,0.0070,,
0.1640,23,206.9,22.2,0.0070,,
0.1725,24,207.7,22.2,0.0075,,
0.1800,25,208.5,22.2,0.0070,,
0.1885,26,209.1,22.2,0.0075,,
0.1970,27,210.1,22.2,0.0070,,
0.2055,28,210.3,22.2,0.0070,,
0.2135,29,210.9,22.2,0.0065,,
0.2220,30,211.4,22.2,0.0070,,
0.2295,31,211.8,22.2,0.0070,,
0.2380,32,212.6,22.2,0.0075,,
0.2465,33,213.6,22.2,0.0075,,
0.2550,34,214.4,22.2,0.0070,,
0.2635,35,215.1,22.2,0.0070,,
0.2720,36,215.6,22.2,0.0075,,
0.2795,37,216.2,22.2,0.0070,,
0.2880,38,216.6,22.2,0.0075,,
0.2965,39,217.0,22.2,0.0070,,
0.3045,40,217.4,22.2,0.0065,,
0.3130,41,217.8,22.2,0.0070,,
0.3215,42,218.3,22.2,0.0075,,
0.3290,43,218.9,22.2,0.0070,,
0.3375,44,219.5,22.2,0.0075,,
0.3460,45,219.9,22.2,0.0075,,
0.3545,46,220.3,22.2,0.0070,,
0.3625,47,220.7,22.2,0.0065,,
0.3710,48,221.1,22.2,0.0070,,
0.3785,49,221.6,22.2,0.0070,,
0.3870,50,221.8,22.2,0.0075,,
0.3955,51,222.3,22.2,0.0075,,
0.4040,52,222.8,22.2,0.0070,,
0.4125,53,222.8,22.2,0.0070,,
0.4210,54,223.1,22.2,0.0070,,
0.4285,55,223.7,22.2,0.0070,,
0.4370,56,223.5,22.2,0.0075,,
0.4455,57,223.4,22.2,0.0070,,
0.4535,58,223.7,22.2,0.0065,,
0.4620,59,224.4,22.2,0.0070,,
0.4705,60,224.5,22.2,0.0075,,
0.4780,61,224.9,22.2,0.0070,,
0.4865,62,225.2,22.2,0.0075,,
0.4950,63,225.7,22.2,0.0075,,
0.5035,64,226.0,22.2,0.0070,,
0.5120,65,226.2,22.2,0.0070,,
0.5200,66,226.4,22.2,0.0065,,
0.5280,67,226.8,22.2,0.0075,,
0.5360,68,227.1,22.2,0.0075,,
0.5445,69,227.4,22.2,0.0075,,
0.5530,70,227.7,22.2,0.0070,,
0.5615,71,228.0,22.2,0.0070,,
0.5700,72,228.4,22.2,0.0070,,
0.5775,73,228.6,22.2,0.0070,,
0.5860,74,229.4,22.2,0.0075,,
0.5945,75,230.0,22.2,0.0070,,
0.6030,76,230.2,22.2,0.0070,,
0.6110,77,230.3,22.2,0.0065,,
0.6195,78,230.0,22.2,0.0070,,
0.6270,79,230.2,22.2,0.0070,,
0.6355,80,230.6,22.2,0.0075,,
0.6440,81,230.8,22.2,0.0075,,
0.6525,82,231.2,22.2,0.0070,,
0.6610,83,231.5,22.2,0.0070,,
0.6690,84,232.4,22.2,0.0065,,
0.6770,85,232.5,22.2,0.0075,,
0.6850,86,232.7,22.2,0.0075,,
0.6935,87,232.9,22.2,0.0070,,
0.7020,88,233.4,22.2,0.0070,,
0.7105,89,233.9,22.2,0.0070,,
0.7190,90,234.1,22.2,0.0075,,
0.7265,91,234.5,22.2,0.0070,,
0.7350,92,234.6,22.2,0.0075,,
0.7435,93,234.9,22.2,0.0075,,
0.7520,94,235.1,22.2,0.0070,,
0.7600,95,235.3,22.2,0.0065,,
0.7685,96,235.5,22.2,0.0070,,
0.7760,97,235.2,22.2,0.0070,,
0.7845,98,235.4,22.2,0.0075,,
0.7930,99,236.0,22.2,0.0075,,
0.8015,100,236.1,22.2,0.0070,,
0.8100,101,236.7,22.2,0.0070,,
0.8185,102,237.1,22.2,0.0070,,
0.8260,103,237.0,22.2,0.0070,,
0.8325,104,237.0,22.2,0.0060,,
0.8380,105,237.3,22.2,0.0050,,
0.8450,106,237.5,22.2,0.0060,,
0.8530,107,238.0,22.2,0.0065,,
0.8615,108,238.1,22.2,0.0070,,
0.8690,109,238.3,22.2,0.0070,,
0.8775,110,238.5,22.2,0.0075,,
0.8850,111,238.4,22.2,0.0070,,
0.8935,112,238.4,22.2,0.0070,,
0.8980,113,238.4,22.2,0.0035,,
0.9035,114,238.2,22.2,0.0045,,
0.9090,115,238.6,22.2,0.0050,,
0.9095,116,238.6,22.2,0.0005,,
0.9105,117,238.4,22.2,0.0010,,
0.9115,118,238.6,22.2,0.0010,,
0.9130,119,238.8,22.2,0.0010,,
0.9135,120,238.5,22.2,0.0005,,
0.9145,121,238.6,22.2,0.0010,,
0.9150,122,238.5,22.2,0.0005,,
0.9160,123,238.6,22.2,0.0010,,
0.9175,124,238.7,22.2,0.0010,,
0.9180,125,238.6,22.2,0.0005,,
0.9190,126,238.6,22.2,0.0010,,
0.9205,127,238.6,22.2,0.0015,,
0.9210,128,238.6,22.2,0.0005,,
0.9220,129,239.0,22.2,0.0010,,
0.9230,130,238.8,22.2,0.0010,,
0.9235,131,238.8,22.2,0.0005,,
0.9245,132,239.1,22.2,0.0010,,
0.9255,133,240.0,22.2,0.0010,,
Scope 1/1, Sample 5/9 (2-Aug-16 Header2)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-100.4,21.9,NaN,,
0.0005,1,-103.9,21.8,0.0005,,
0.0020,2,-104.0,21.8,0.0010,,
0.0050,3,-104.3,21.8,0.0025,,
0.0085,4,-104.4,21.8,0.0025,,
0.0150,5,-104.5,21.8,0.0050,,
0.0235,6,-103.8,21.8,0.0065,,
0.0310,7,-103.6,21.8,0.0060,,
0.0395,8,-102.7,21.8,0.0070,,
0.0480,9,-101.9,21.8,0.0065,,
0.0565,10,-101.6,21.8,0.0065,,
0.0645,11,-101.0,21.8,0.0060,,
0.0730,12,-100.7,21.8,0.0070,,
0.0805,13,-99.8,21.8,0.0060,,
0.0890,14,-99.1,21.8,0.0070,,
0.0975,15,-98.3,21.8,0.0065,,
0.1060,16,-97.6,21.8,0.0065,,
0.1145,17,-96.9,21.8,0.0065,,
0.1230,18,-96.2,21.8,0.0070,,
0.1305,19,-95.4,21.8,0.0060,,
0.1390,20,-94.6,21.8,0.0070,,
0.1470,21,-93.8,21.8,0.0065,,
0.1555,22,-93.0,21.8,0.0065,,
0.1640,23,-92.2,21.8,0.0065,,
0.1725,24,-91.3,21.8,0.0070,,
0.1800,25,-90.8,21.8,0.0060,,
0.1885,26,-90.1,21.8,0.0070,,
0.1970,27,-88.6,21.8,0.0065,,
0.2055,28,-87.7,21.8,0.0065,,
0.2135,29,-86.8,21.8,0.0060,,
0.2220,30,-85.7,21.8,0.0065,,
0.2295,31,-84.7,21.8,0.0060,,
0.2380,32,-83.7,21.8,0.0070,,
0.2465,33,-82.6,21.8,0.0070,,
0.2550,34,-82.0,21.8,0.0065,,
0.2635,35,-80.6,21.8,0.0065,,
0.2720,36,-79.3,21.8,0.0065,,
0.2795,37,-77.9,21.8,0.0065,,
0.2880,38,-76.7,21.8,0.0070,,
0.2960,39,-75.4,21.8,0.0065,,
0.3045,40,-74.0,21.8,0.0065,,
0.3130,41,-72.8,21.8,0.0065,,
0.3215,42,-71.7,21.8,0.0065,,
0.3290,43,-70.1,21.8,0.0060,,
0.3375,44,-69.0,21.8,0.0070,,
0.3460,45,-66.5,21.8,0.0070,,
0.3545,46,-64.7,21.8,0.0065,,
0.3625,47,-62.9,21.8,0.0060,,
0.3710,48,-61.2,21.8,0.0065,,
0.3785,49,-59.4,21.8,0.0060,,
0.3870,50,-57.5,21.8,0.0070,,
0.3955,51,-55.5,21.8,0.0070,,
0.4040,52,-53.1,21.8,0.0065,,
0.4125,53,-50.9,21.8,0.0065,,
0.4210,54,-48.3,21.8,0.0065,,
0.4285,55,-45.5,21.8,0.0060,,
0.4370,56,-43.0,21.8,0.0070,,
0.4455,57,-40.2,21.8,0.0070,,
0.4535,58,-36.4,21.8,0.0060,,
0.4620,59,-32.4,21.8,0.0065,,
0.4705,60,-28.0,21.8,0.0065,,
0.4780,61,-24.4,21.8,0.0060,,
0.4865,62,-20.6,21.8,0.0070,,
0.4950,63,-16.3,21.8,0.0070,,
0.5035,64,-12.0,21.8,0.0065,,
0.5120,65,-8.4,21.8,0.0065,,
0.5200,66,-5.5,21.8,0.0065,,
0.5280,67,-2.1,21.8,0.0065,,
0.5360,68,0.1,21.8,0.0065,,
0.5445,69,2.0,21.8,0.0065,,
0.5530,70,3.5,21.8,0.0065,,
0.5615,71,5.6,21.8,0.0065,,
0.5700,72,7.1,21.8,0.0065,,
0.5775,73,8.7,21.8,0.0060,,
0.5860,74,10.4,21.8,0.0070,,
0.5945,75,11.5,21.8,0.0065,,
0.6025,76,12.1,21.8,0.0060,,
0.6110,77,13.3,21.8,0.0065,,
0.6195,78,14.5,21.8,0.0065,,
0.6270,79,15.8,21.8,0.0060,,
0.6355,80,16.6,21.8,0.0070,,
0.6440,81,17.8,21.8,0.0065,,
0.6525,82,19.0,21.8,0.0065,,
0.6610,83,20.0,21.8,0.0065,,
0.6695,84,21.2,21.8,0.0065,,
0.6770,85,22.1,21.8,0.0060,,
0.6855,86,23.2,21.8,0.0070,,
0.6935,87,24.2,21.8,0.0060,,
0.7020,88,25.2,21.8,0.0065,,
0.7105,89,26.1,21.8,0.0065,,
0.7190,90,27.3,21.8,0.0065,,
0.7265,91,28.0,21.8,0.0060,,
0.7350,92,29.0,21.8,0.0070,,
0.7435,93,30.5,21.8,0.0065,,
0.7520,94,31.5,21.8,0.0065,,
0.7600,95,32.9,21.8,0.0060,,
0.7685,96,33.6,21.8,0.0065,,
0.7760,97,33.7,21.8,0.0065,,
0.7845,98,34.3,21.8,0.0070,,
0.7930,99,35.3,21.8,0.0070,,
0.8015,100,36.5,21.8,0.0065,,
0.8100,101,37.4,21.8,0.0065,,
0.8180,102,38.1,21.8,0.0060,,
0.8260,103,38.9,21.8,0.0065,,
0.8340,104,40.0,21.8,0.0065,,
0.8425,105,40.9,21.8,0.0070,,
0.8510,106,41.7,21.8,0.0065,,
0.8595,107,42.8,21.8,0.0065,,
0.8680,108,43.6,21.8,0.0065,,
0.8755,109,44.2,21.8,0.0060,,
0.8840,110,45.0,21.8,0.0070,,
0.8925,111,46.2,21.8,0.0070,,
0.9010,112,47.2,21.8,0.0065,,
0.9090,113,47.9,21.8,0.0060,,
0.9175,114,48.4,21.8,0.0065,,
0.9260,115,49.3,21.8,0.0070,,
0.9335,116,50.3,21.8,0.0060,,
0.9420,117,51.4,21.8,0.0070,,
0.9505,118,52.0,21.8,0.0065,,
0.9590,119,53.0,21.8,0.0065,,
0.9675,120,54.7,21.8,0.0065,,
0.9750,121,55.4,21.8,0.0060,,
0.9835,122,56.0,21.8,0.0070,,
0.9915,123,56.9,21.8,0.0065,,
1.0000,124,57.6,21.8,0.0065,,
1.0085,125,58.7,21.8,0.0065,,
1.0170,126,60.1,21.8,0.0065,,
1.0255,127,60.8,21.8,0.0070,,
1.0330,128,62.0,21.8,0.0060,,
1.0415,129,63.3,21.8,0.0070,,
1.0500,130,64.7,21.8,0.0065,,
1.0580,131,65.7,21.8,0.0060,,
1.0665,132,66.5,21.8,0.0065,,
1.0750,133,67.5,21.8,0.0070,,
1.0825,134,68.7,21.8,0.0060,,
1.0910,135,70.2,21.8,0.0070,,
1.0995,136,71.9,21.8,0.0065,,
1.1080,137,73.5,21.8,0.0065,,
1.1165,138,74.9,21.8,0.0065,,
1.1245,139,75.8,21.8,0.0065,,
1.1325,140,77.3,21.8,0.0065,,
1.1405,141,78.9,21.8,0.0065,,
1.1490,142,80.8,21.8,0.0065,,
1.1575,143,82.1,21.8,0.0065,,
1.1660,144,84.2,21.8,0.0065,,
1.1745,145,86.0,21.8,0.0070,,
1.1820,146,87.8,21.8,0.0060,,
1.1905,147,90.2,21.8,0.0070,,
1.1990,148,92.1,21.8,0.0065,,
1.2070,149,93.7,21.8,0.0060,,
1.2155,150,96.1,21.8,0.0065,,
1.2240,151,98.7,21.8,0.0065,,
1.2315,152,102.0,21.8,0.0060,,
1.2400,153,104.9,21.8,0.0070,,
1.2485,154,108.7,21.8,0.0070,,
1.2570,155,112.4,21.8,0.0065,,
1.2650,156,116.5,21.8,0.0060,,
1.2735,157,121.2,21.8,0.0065,,
1.2810,158,125.7,21.8,0.0060,,
1.2895,159,130.6,21.8,0.0070,,
1.2980,160,135.7,21.8,0.0070,,
1.3065,161,140.9,21.8,0.0065,,
1.3150,162,146.0,21.8,0.0065,,
1.3235,163,151.6,21.8,0.0065,,
1.3310,164,155.6,21.8,0.0060,,
1.3395,165,160.0,21.8,0.0070,,
1.3480,166,163.5,21.8,0.0070,,
1.3560,167,167.0,21.8,0.0060,,
1.3645,168,170.1,21.8,0.0065,,
1.3730,169,173.2,21.8,0.0065,,
1.3805,170,174.9,21.8,0.0060,,
1.3890,171,177.0,21.8,0.0070,,
1.3975,172,179.2,21.8,0.0070,,
1.4060,173,181.4,21.8,0.0065,,
1.4140,174,183.3,21.8,0.0060,,
1.4220,175,184.9,21.8,0.0060,,
1.4270,176,186.3,21.8,0.0040,,
1.4290,177,187.5,21.8,0.0015,,
1.4290,178,187.9,21.8,0.0000,,
1.4295,179,187.6,21.8,0.0005,,
1.4310,180,187.1,21.8,0.0010,,
1.4330,181,187.3,21.8,0.0015,,
1.4355,182,187.6,21.9,0.0020,,
1.4380,183,188.1,21.9,0.0020,,
1.4385,184,188.7,21.8,0.0005,,
1.4395,185,188.8,21.8,0.0010,,
1.4400,186,188.9,21.8,0.0005,,
1.4410,187,190.0,21.9,0.0010,,
Result,TitrationEP2
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,189.6,22.2,NaN,,
0.0005,1,189.5,22.2,0.0005,,
0.0020,2,189.7,22.2,0.0015,,
0.0050,3,189.9,22.2,0.0025,,
0.0085,4,190.1,22.2,0.0030,,
0.0145,5,190.5,22.2,0.0050,,
0.0230,6,191.5,22.2,0.0070,,
0.0305,7,192.4,22.2,0.0070,,
0.0390,8,193.7,22.2,0.0075,,
0.0470,9,195.1,22.2,0.0065,,
0.0555,10,196.8,22.2,0.0070,,
0.0640,11,197.9,22.2,0.0070,,
0.0725,12,198.6,22.2,0.0075,,
0.0800,13,199.6,22.2,0.0070,,
0.0885,14,200.7,22.2,0.0075,,
0.0970,15,201.7,22.2,0.0070,,
0.1055,16,202.6,22.2,0.0070,,
0.1140,17,203.5,22.2,0.0070,,
0.1215,18,204.2,22.2,0.0070,,
0.1300,19,205.1,22.2,0.0075,,
0.1380,20,205.9,22.2,0.0075,,
0.1465,21,206.6,22.2,0.0070,,
0.1550,22,207.4,22.2,0.0070,,
0.1635,23,207.9,22.2,0.0070,,
0.1710,24,208.5,22.2,0.0070,,
0.1795,25,209.0,22.2,0.0075,,
0.1880,26,209.5,22.2,0.0075,,
0.1965,27,209.9,22.2,0.0070,,
0.2045,28,210.6,22.2,0.0065,,
0.2130,29,211.4,22.2,0.0070,,
0.2215,30,211.4,22.2,0.0075,,
0.2290,31,211.9,22.2,0.0070,,
0.2375,32,212.6,22.2,0.0075,,
0.2460,33,213.1,22.2,0.0070,,
0.2545,34,213.6,22.2,0.0070,,
0.2630,35,214.2,22.2,0.0070,,
0.2705,36,214.7,22.2,0.0070,,
0.2790,37,215.1,22.2,0.0075,,
0.2875,38,215.6,22.2,0.0075,,
0.2955,39,216.1,22.2,0.0065,,
0.3040,40,217.0,22.2,0.0070,,
0.3125,41,217.4,22.2,0.0070,,
0.3210,42,218.0,22.2,0.0075,,
0.3285,43,218.5,22.2,0.0070,,
0.3370,44,218.5,22.2,0.0075,,
0.3455,45,218.8,22.2,0.0070,,
0.3540,46,219.3,22.2,0.0070,,
0.3620,47,220.0,22.2,0.0065,,
0.3705,48,220.9,22.2,0.0075,,
