Raw Data
Scope 1/1, Sample 1/9 (129)
Method Function,Sample (S1)
0.8985,113,238.4,21.9,0.0060,,
0.9070,114,239.1,21.9,0.0070,,
0.9085,115,239.2,21.9,0.0010,,
0.9090,116,238.5,21.9,0.0005,,
0.9095,117,238.6,21.9,0.0005,,
0.9105,118,238.7,21.9,0.0010,,
0.9110,119,238.7,21.9,0.0005,,
0.9115,120,238.9,21.9,0.0005,,
0.9120,121,239.4,21.9,0.0005,,
0.9130,122,239.4,21.9,0.0010,,
0.9135,123,239.4,21.9,0.0005,,
0.9140,124,239.3,21.9,0.0005,,
0.9145,125,239.2,21.9,0.0005,,
0.9150,126,239.4,21.9,0.0005,,
0.9155,127,239.3,21.9,0.0005,,
0.9165,128,239.1,21.9,0.0010,,
0.9165,129,239.0,21.9,0.0000,,
0.9170,130,239.4,21.9,0.0005,,
0.9185,131,239.4,21.9,0.0010,,
0.9195,132,239.5,21.9,0.0010,,
0.9200,133,239.6,21.9,0.0005,,
0.9210,134,239.5,21.9,0.0010,,
0.9215,135,239.7,21.9,0.0005,,
0.9225,136,239.7,21.9,0.0010,,
0.9235,137,239.5,21.9,0.0010,,
0.9245,138,239.4,21.9,0.0010,,
0.9250,139,239.3,21.9,0.0005,,
0.9260,140,239.6,21.9,0.0010,,
0.9265,141,239.8,21.9,0.0005,,
0.9275,142,239.8,21.9,0.0010,,
0.9285,143,239.8,21.9,0.0010,,
0.9295,144,239.7,21.9,0.0010,,
0.9300,145,239.5,21.9,0.0005,,
0.9315,146,239.3,21.9,0.0015,,
0.9335,147,238.8,21.9,0.0020,,
0.9355,148,238.8,21.9,0.0020,,
0.9385,149,240.0,21.9,0.0025,,
Scope 1/1, Sample 4/9 (137)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-97.6,21.7,NaN,,
0.0005,1,-100.9,21.6,0.0005,,
0.0020,2,-101.1,21.6,0.0015,,
0.0050,3,-101.3,21.6,0.0025,,
0.0085,4,-100.7,21.6,0.0030,,
0.0150,5,-100.5,21.6,0.0055,,
0.0235,6,-100.4,21.6,0.0070,,
0.0310,7,-100.1,21.6,0.0070,,
0.0395,8,-99.6,21.6,0.0075,,
0.0480,9,-99.1,21.6,0.0070,,
0.0565,10,-98.9,21.6,0.0070,,
0.0645,11,-98.2,21.6,0.0065,,
0.0730,12,-97.4,21.6,0.0070,,
0.0805,13,-96.8,21.6,0.0070,,
0.0890,14,-96.2,21.6,0.0075,,
0.0975,15,-95.5,21.6,0.0075,,
0.1060,16,-94.7,21.6,0.0070,,
0.1145,17,-94.2,21.6,0.0070,,
0.1230,18,-93.1,21.6,0.0070,,
0.1305,19,-92.6,21.6,0.0070,,
0.1390,20,-91.6,21.6,0.0075,,
0.1470,21,-91.2,21.6,0.0075,,
0.1555,22,-90.5,21.6,0.0070,,
0.1640,23,-89.5,21.6,0.0070,,
0.1725,24,-88.3,21.6,0.0070,,
0.1800,25,-87.3,21.6,0.0070,,
0.1885,26,-86.5,21.6,0.0075,,
0.1970,27,-86.0,21.6,0.0075,,
0.2050,28,-84.9,21.6,0.0065,,
0.2135,29,-83.7,21.6,0.0070,,
0.2220,30,-82.3,21.6,0.0070,,
0.2295,31,-81.3,21.6,0.0070,,
0.2380,32,-80.6,21.6,0.0075,,
0.2465,33,-79.8,21.6,0.0075,,
0.2550,34,-78.2,21.6,0.0070,,
0.2635,35,-76.5,21.6,0.0070,,
0.2720,36,-75.0,21.6,0.0070,,
0.2800,37,-73.7,21.6,0.0075,,
0.2875,38,-72.3,21.6,0.0070,,
0.2960,39,-71.0,21.6,0.0075,,
0.3045,40,-69.4,21.6,0.0070,,
0.3130,41,-68.1,21.6,0.0070,,
0.3215,42,-67.1,21.6,0.0070,,
0.3300,43,-64.9,21.6,0.0075,,
0.3375,44,-63.5,21.6,0.0070,,
0.3460,45,-61.1,21.6,0.0075,,
0.3545,46,-59.2,21.6,0.0070,,
0.3625,47,-57.0,21.6,0.0065,,
0.3710,48,-55.1,21.6,0.0070,,
0.3795,49,-52.6,21.6,0.0075,,
0.3870,50,-50.3,21.6,0.0070,,
0.3955,51,-47.6,21.6,0.0075,,
0.4040,52,-44.7,21.6,0.0070,,
0.4125,53,-41.4,21.6,0.0070,,
0.4210,54,-37.7,21.6,0.0070,,
0.4285,55,-34.1,21.6,0.0070,,
0.4370,56,-29.8,21.6,0.0075,,
0.4455,57,-25.6,21.6,0.0075,,
0.4535,58,-21.1,21.6,0.0065,,
0.4620,59,-16.8,21.6,0.0070,,
0.4705,60,-12.6,21.6,0.0070,,
0.4780,61,-9.0,21.6,0.0070,,
0.4865,62,-5.1,21.6,0.0075,,
0.4950,63,-1.3,21.6,0.0075,,
0.5035,64,0.9,21.6,0.0070,,
0.5120,65,2.2,21.6,0.0070,,
0.5200,66,3.6,21.6,0.0065,,
0.5280,67,5.6,21.6,0.0075,,
0.5360,68,7.1,21.6,0.0075,,
0.5445,69,8.4,21.6,0.0075,,
0.5530,70,9.9,21.6,0.0070,,
0.5615,71,11.6,21.6,0.0070,,
0.5700,72,12.8,21.6,0.0070,,
0.5775,73,14.0,21.6,0.0070,,
0.5860,74,15.3,21.6,0.0075,,
0.5945,75,16.4,21.6,0.0075,,
0.6025,76,17.7,21.6,0.0065,,
0.6110,77,18.8,21.6,0.0070,,
0.6195,78,19.8,21.6,0.0070,,
0.6270,79,21.1,21.6,0.0070,,
0.6355,80,22.3,21.6,0.0075,,
0.6440,81,23.5,21.6,0.0075,,
0.6525,82,24.0,21.6,0.0070,,
0.6610,83,24.8,21.6,0.0070,,
0.6690,84,25.8,21.6,0.0065,,
0.6770,85,26.8,21.6,0.0075,,
0.6850,86,27.9,21.6,0.0075,,
0.6935,87,28.7,21.6,0.0075,,
0.7020,88,30.2,21.6,0.0070,,
0.7105,89,30.9,21.6,0.0070,,
0.7190,90,31.4,21.6,0.0070,,
0.7275,91,32.2,21.6,0.0075,,
0.7350,92,33.2,21.6,0.0070,,
0.7435,93,34.3,21.6,0.0075,,
0.7515,94,34.8,21.6,0.0065,,
0.7600,95,36.1,21.6,0.0070,,
0.7685,96,36.8,21.6,0.0070,,
0.7770,97,37.5,21.6,0.0075,,
0.7845,98,38.5,21.6,0.0070,,
0.7930,99,39.3,21.6,0.0075,,
0.8015,100,40.5,21.6,0.0070,,
0.8100,101,41.9,21.6,0.0070,,
0.8180,102,42.9,21.6,0.0065,,
0.8265,103,43.0,21.6,0.0075,,
0.8340,104,44.4,21.6,0.0070,,
0.8425,105,45.4,21.6,0.0075,,
0.8510,106,46.2,21.6,0.0070,,
0.8595,107,47.0,21.6,0.0070,,
0.8680,108,48.1,21.6,0.0070,,
0.8765,109,48.7,21.6,0.0075,,
0.8840,110,49.7,21.6,0.0070,,
0.8925,111,50.7,21.6,0.0075,,
0.9005,112,51.7,21.6,0.0065,,
0.9090,113,52.6,21.6,0.0070,,
0.9175,114,53.2,21.6,0.0070,,
0.9250,115,53.9,21.6,0.0070,,
0.9335,116,54.2,21.6,0.0075,,
0.9420,117,54.9,21.6,0.0075,,
0.9505,118,56.3,21.6,0.0070,,
0.9590,119,56.8,21.6,0.0070,,
0.9675,120,58.1,21.6,0.0070,,
0.9755,121,59.8,21.6,0.0075,,
0.9830,122,60.9,21.6,0.0070,,
0.9915,123,62.1,21.6,0.0075,,
1.0000,124,62.4,21.6,0.0070,,
1.0085,125,63.1,21.6,0.0070,,
1.0170,126,64.1,21.6,0.0070,,
1.0245,127,65.0,21.6,0.0070,,
1.0330,128,66.4,21.6,0.0075,,
1.0415,129,67.7,21.6,0.0075,,
1.0500,130,69.0,21.6,0.0070,,
1.0580,131,70.3,21.6,0.0065,,
1.0665,132,71.3,21.6,0.0070,,
1.0740,133,72.2,21.6,0.0070,,
1.0825,134,73.8,21.6,0.0075,,
1.0910,135,74.9,21.6,0.0075,,
1.0995,136,76.5,21.6,0.0070,,
1.1080,137,77.7,21.6,0.0070,,
1.1165,138,79.7,21.6,0.0070,,
1.1240,139,81.0,21.6,0.0070,,
1.1325,140,82.6,21.6,0.0075,,
1.1405,141,84.5,21.6,0.0075,,
1.1490,142,86.4,21.6,0.0070,,
1.1575,143,87.9,21.6,0.0070,,
1.1660,144,89.8,21.6,0.0070,,
1.1735,145,91.7,21.6,0.0070,,
1.1820,146,94.3,21.6,0.0075,,
1.1905,147,96.2,21.6,0.0075,,
1.1990,148,99.0,21.6,0.0070,,
1.2075,149,100.3,21.6,0.0070,,
1.2155,150,102.9,21.6,0.0065,,
1.2235,151,106.0,21.6,0.0075,,
1.2315,152,109.4,21.6,0.0075,,
1.2400,153,112.8,21.6,0.0075,,
1.2485,154,116.6,21.6,0.0070,,
1.2570,155,121.3,21.6,0.0070,,
1.2655,156,126.1,21.6,0.0070,,
1.2730,157,129.6,21.6,0.0070,,
1.2815,158,134.2,21.6,0.0075,,
1.2900,159,139.7,21.6,0.0070,,
1.2985,160,144.4,21.6,0.0070,,
1.3065,161,148.7,21.6,0.0065,,
1.3150,162,153.1,21.6,0.0075,,
1.3225,163,156.5,21.6,0.0070,,
1.3310,164,160.1,21.6,0.0075,,
1.3395,165,163.8,21.6,0.0070,,
1.3480,166,167.1,21.6,0.0070,,
1.3565,167,170.0,21.6,0.0070,,
1.3650,168,172.3,21.6,0.0075,,
1.3725,169,174.7,21.6,0.0070,,
1.3810,170,176.6,21.6,0.0075,,
1.3890,171,178.7,21.6,0.0065,,
1.3975,172,180.8,21.6,0.0070,,
1.4060,173,182.9,21.6,0.0070,,
1.4140,174,184.4,21.6,0.0075,,
1.4195,175,186.4,21.6,0.0050,,
1.4210,176,187.6,21.6,0.0015,,
1.4215,177,188.0,21.6,0.0005,,
1.4225,178,188.2,21.6,0.0010,,
1.4235,179,188.4,21.6,0.0010,,
1.4235,180,188.6,21.6,0.0000,,
1.4250,181,188.6,21.6,0.0015,,
1.4260,182,188.7,21.6,0.0010,,
1.4265,183,189.0,21.6,0.0005,,
1.4270,184,189.1,21.6,0.0005,,
1.4290,185,189.2,21.6,0.0015,,
1.4300,186,189.4,21.6,0.0010,,
1.4310,187,189.4,21.6,0.0010,,
1.4320,188,189.2,21.6,0.0010,,
1.4325,189,190.1,21.6,0.0005,,
Result,TitrationEP2
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,190.1,21.9,NaN,,
0.0005,1,189.2,21.9,0.0005,,
0.0020,2,189.4,21.9,0.0015,,
0.0050,3,189.4,21.9,0.0025,,
0.0085,4,189.7,21.9,0.0030,,
0.0145,5,190.4,21.9,0.0050,,
0.0230,6,191.8,21.9,0.0070,,
0.0305,7,192.7,21.9,0.0070,,
0.0390,8,193.9,21.9,0.0075,,
0.0470,9,195.4,21.9,0.0065,,
0.0555,10,196.7,21.9,0.0070,,
0.0640,11,197.8,21.9,0.0070,,
0.0725,12,198.6,21.9,0.0070,,
0.0800,13,198.9,21.9,0.0070,,
0.0885,14,199.9,21.9,0.0075,,
0.0970,15,201.3,21.9,0.0075,,
0.1055,16,202.3,21.9,0.0070,,
0.1135,17,203.3,21.9,0.0065,,
0.1220,18,204.0,21.9,0.0075,,
0.1295,19,204.8,21.9,0.0070,,
0.1380,20,205.3,21.9,0.0075,,
0.1465,21,206.1,21.9,0.0075,,
0.1550,22,206.9,21.9,0.0070,,
0.1635,23,207.7,21.9,0.0070,,
0.1720,24,208.6,21.9,0.0070,,
0.1795,25,209.1,21.9,0.0070,,
0.1880,26,209.7,21.9,0.0075,,
0.1960,27,210.2,21.9,0.0065,,
0.2045,28,210.2,21.9,0.0070,,
0.2130,29,210.8,21.9,0.0070,,
0.2215,30,211.4,21.9,0.0075,,
0.2290,31,211.7,21.9,0.0070,,
0.2375,32,212.4,21.9,0.0075,,
0.2460,33,212.8,21.9,0.0070,,
0.2545,34,213.5,21.9,0.0070,,
0.2630,35,213.9,21.9,0.0070,,
0.2710,36,214.4,21.9,0.0075,,
0.2790,37,214.9,21.9,0.0075,,
0.2870,38,215.5,21.9,0.0075,,
0.2955,39,216.4,21.9,0.0075,,
0.3040,40,216.8,21.9,0.0070,,
0.3125,41,217.8,21.9,0.0070,,
0.3210,42,218.2,21.9,0.0070,,
0.3285,43,218.9,21.9,0.0070,,
0.3370,44,219.0,21.9,0.0075,,
0.3455,45,218.8,21.9,0.0075,,
0.3535,46,219.1,21.9,0.0065,,
0.3620,47,219.8,21.9,0.0070,,
0.3705,48,220.7,21.9,0.0070,,
0.3780,49,221.5,21.9,0.0070,,
0.3865,50,221.8,21.9,0.0075,,
0.3950,51,222.2,21.9,0.0075,,
0.4035,52,222.4,21.9,0.0070,,
0.4120,53,222.3,21.9,0.0070,,
0.4200,54,222.2,21.9,0.0065,,
0.4280,55,222.7,21.9,0.0075,,
0.4360,56,223.0,21.9,0.0075,,
0.4445,57,223.2,21.9,0.0075,,
0.4530,58,223.6,21.9,0.0070,,
0.4615,59,224.2,21.9,0.0070,,
0.4700,60,224.9,21.9,0.0075,,
0.4775,61,225.5,21.9,0.0070,,
0.4860,62,225.9,21.9,0.0075,,
0.4945,63,226.3,21.9,0.0070,,
0.5030,64,226.7,21.9,0.0070,,
0.5110,65,227.2,21.9,0.0065,,
0.5195,66,227.4,21.9,0.0075,,
0.5270,67,227.8,21.9,0.0070,,
0.5355,68,227.9,21.9,0.0075,,
0.5440,69,227.6,21.9,0.0070,,
0.5525,70,227.9,21.9,0.0070,,
0.5610,71,228.3,21.9,0.0070,,
0.5695,72,229.2,21.9,0.0075,,
0.5770,73,229.4,21.9,0.0070,,
0.5855,74,229.4,21.9,0.0075,,
0.5935,75,229.8,21.9,0.0065,,
0.6020,76,229.8,21.9,0.0070,,
0.6105,77,229.7,21.9,0.0070,,
0.6180,78,229.9,21.9,0.0070,,
0.6265,79,230.2,21.9,0.0075,,
0.6350,80,230.6,21.9,0.0075,,
0.6435,81,231.0,21.9,0.0070,,
0.6520,82,231.3,21.9,0.0070,,
0.6600,83,231.9,21.9,0.0065,,
0.6685,84,232.6,21.9,0.0075,,
0.6760,85,232.9,21.9,0.0070,,
0.6845,86,233.1,21.9,0.0075,,
0.6930,87,233.4,21.9,0.0070,,
0.7015,88,233.6,21.9,0.0070,,
0.7100,89,234.0,21.9,0.0070,,
0.7185,90,234.2,21.9,0.0070,,
0.7260,91,234.3,21.9,0.0070,,
0.7345,92,234.6,21.9,0.0075,,
0.7425,93,234.9,21.9,0.0075,,
0.7510,94,235.1,21.9,0.0070,,
0.7595,95,235.3,21.9,0.0070,,
0.7680,96,235.5,21.9,0.0070,,
0.7755,97,235.2,21.9,0.0070,,
0.7840,98,235.4,21.9,0.0075,,
0.7925,99,235.3,21.9,0.0075,,
0.8010,100,236.1,21.9,0.0070,,
0.8090,101,236.6,21.9,0.0065,,
0.8175,102,237.0,21.9,0.0070,,
0.8250,103,236.9,21.9,0.0070,,
0.8335,104,237.1,21.9,0.0075,,
0.8420,105,237.2,21.9,0.0070,,
0.8505,106,237.3,21.9,0.0070,,
0.8590,107,237.9,21.9,0.0070,,
0.8630,108,238.1,21.9,0.0035,,
0.8665,109,238.3,21.9,0.0030,,
0.8715,110,238.3,21.9,0.0045,,
0.8755,111,238.4,21.9,0.0035,,
0.8795,112,238.5,21.9,0.0035,,
0.8855,113,238.7,21.9,0.0050,,
0.8935,114,238.9,21.9,0.0065,,
0.9010,115,238.9,21.9,0.0070,,
0.9090,116,239.0,21.9,0.0075,,
0.9115,117,238.7,21.9,0.0025,,
0.9125,118,238.6,21.9,0.0010,,
0.9130,119,238.7,21.9,0.0005,,
0.9135,120,239.0,21.9,0.0005,,
0.9145,121,238.8,21.9,0.0010,,
0.9150,122,238.4,21.9,0.0005,,
0.9165,123,238.4,21.9,0.0015,,
0.9170,124,238.5,21.9,0.0005,,
0.9175,125,238.5,21.9,0.0005,,
0.9180,126,238.7,21.9,0.0005,,
0.9190,127,238.6,21.9,0.0010,,
0.9195,128,238.7,21.9,0.0005,,
0.9210,129,239.3,21.9,0.0015,,
0.9225,130,239.7,21.9,0.0010,,
0.9245,131,239.8,21.9,0.0015,,
0.9270,132,239.8,21.9,0.0020,,
0.9285,133,239.3,21.9,0.0015,,
0.9295,134,239.3,21.9,0.0010,,
0.9300,135,239.6,21.9,0.0005,,
0.9305,136,239.9,21.9,0.0005,,
0.9315,137,240.0,21.9,0.0010,,
0.9320,138,239.5,21.9,0.0005,,
0.9335,140,240.0,21.9,0.0010,,
Scope 1/1, Sample 5/9 (139)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-95.9,21.7,NaN,,
0.0005,1,-99.6,21.6,0.0005,,
0.0020,2,-99.9,21.6,0.0015,,
0.0050,3,-100.2,21.6,0.0025,,
0.0085,4,-100.2,21.6,0.0030,,
0.0150,5,-99.8,21.6,0.0055,,
0.0235,6,-99.1,21.6,0.0070,,
0.0310,7,-98.9,21.6,0.0070,,
0.0395,8,-98.5,21.6,0.0075,,
0.0480,9,-98.1,21.6,0.0075,,
0.0565,10,-97.5,21.6,0.0070,,
0.0645,11,-97.0,21.6,0.0065,,
0.0730,12,-96.5,21.6,0.0070,,
0.0805,13,-96.3,21.6,0.0070,,
0.0890,14,-96.0,21.6,0.0075,,
0.0975,15,-95.6,21.6,0.0070,,
0.1060,16,-95.1,21.6,0.0070,,
0.1145,17,-94.5,21.6,0.0070,,
0.1230,18,-94.0,21.6,0.0070,,
0.1305,19,-93.3,21.6,0.0070,,
0.1390,20,-92.7,21.6,0.0075,,
0.1475,21,-92.0,21.6,0.0070,,
0.1555,22,-90.8,21.6,0.0065,,
0.1640,23,-89.4,21.6,0.0070,,
0.1725,24,-88.9,21.6,0.0075,,
0.1800,25,-88.4,21.6,0.0070,,
0.1885,26,-87.8,21.6,0.0075,,
0.1970,27,-86.8,21.6,0.0070,,
0.2055,28,-86.2,21.6,0.0070,,
0.2140,29,-85.0,21.6,0.0070,,
0.2220,30,-84.3,21.6,0.0075,,
0.2300,31,-83.2,21.6,0.0075,,
0.2380,32,-81.7,21.6,0.0075,,
0.2465,33,-80.5,21.6,0.0070,,
0.2550,34,-79.4,21.6,0.0070,,
0.2635,35,-78.3,21.6,0.0070,,
0.2720,36,-77.6,21.6,0.0075,,
0.2795,37,-76.4,21.6,0.0070,,
0.2880,38,-75.2,21.6,0.0075,,
0.2965,39,-73.8,21.6,0.0070,,
0.3045,40,-72.6,21.6,0.0065,,
0.3130,41,-71.5,21.6,0.0070,,
0.3215,42,-69.8,21.6,0.0075,,
0.3290,43,-68.6,21.6,0.0070,,
0.3375,44,-67.6,21.6,0.0075,,
0.3460,45,-66.5,21.6,0.0070,,
0.3545,46,-64.9,21.6,0.0070,,
0.3630,47,-63.4,21.6,0.0070,,
0.3705,48,-61.6,21.6,0.0070,,
0.3790,49,-59.9,21.6,0.0075,,
0.3875,50,-58.0,21.6,0.0075,,
0.3955,51,-55.8,21.6,0.0065,,
0.4040,52,-54.0,21.6,0.0070,,
0.4125,53,-51.6,21.6,0.0070,,
0.4210,54,-48.9,21.6,0.0075,,
0.4285,55,-46.4,21.6,0.0070,,
0.4370,56,-44.4,21.6,0.0075,,
0.4455,57,-41.5,21.6,0.0070,,
0.4540,58,-38.4,21.6,0.0070,,
0.4620,59,-34.3,21.6,0.0065,,
0.4700,60,-31.1,21.6,0.0075,,
0.4780,61,-26.8,21.6,0.0075,,
0.4865,62,-22.9,21.6,0.0075,,
0.4950,63,-19.0,21.6,0.0070,,
0.5035,64,-15.0,21.6,0.0070,,
0.5120,65,-11.1,21.6,0.0070,,
0.5205,66,-7.9,21.6,0.0075,,
0.5280,67,-5.0,21.6,0.0070,,
0.5365,68,-2.2,21.6,0.0075,,
0.5445,69,0.3,21.6,0.0065,,
0.5530,70,2.0,21.6,0.0070,,
0.5615,71,3.5,21.6,0.0070,,
0.5700,72,4.6,21.6,0.0070,,
0.5775,73,5.7,21.6,0.0070,,
0.5860,74,7.4,21.6,0.0075,,
0.5945,75,8.8,21.6,0.0075,,
0.6030,76,9.8,21.6,0.0070,,
0.6110,77,10.6,21.6,0.0065,,
0.6195,78,11.9,21.6,0.0070,,
0.6270,79,12.9,21.6,0.0070,,
0.6355,80,14.4,21.6,0.0075,,
0.6440,81,15.7,21.6,0.0075,,
0.6525,82,17.2,21.6,0.0070,,
0.6610,83,18.2,21.6,0.0070,,
0.6695,84,19.0,21.6,0.0070,,
0.6770,85,19.9,21.6,0.0070,,
0.6855,86,20.4,21.6,0.0075,,
0.6935,87,21.3,21.6,0.0075,,
0.7020,88,22.4,21.6,0.0070,,
0.7105,89,23.2,21.6,0.0070,,
0.7190,90,24.5,21.6,0.0070,,
0.7265,91,25.3,21.6,0.0070,,
0.7350,92,25.7,21.6,0.0075,,
0.7435,93,26.4,21.6,0.0075,,
0.7520,94,27.4,21.6,0.0070,,
0.7600,95,28.1,21.6,0.0065,,
0.7685,96,28.7,21.6,0.0070,,
0.7760,97,29.5,21.6,0.0070,,
0.7845,98,29.9,21.6,0.0075,,
0.7930,99,30.5,21.6,0.0070,,
0.8015,100,31.4,21.6,0.0070,,
0.8100,101,32.3,21.6,0.0070,,
0.8185,102,33.0,21.6,0.0070,,
0.8260,103,33.8,21.6,0.0070,,
0.8345,104,34.8,21.6,0.0075,,
0.8430,105,36.0,21.6,0.0070,,
0.8510,106,36.7,21.6,0.0065,,
0.8595,107,37.7,21.6,0.0070,,
0.8680,108,37.9,21.6,0.0075,,
0.8755,109,38.5,21.6,0.0070,,
0.8840,110,39.3,21.6,0.0075,,
0.8925,111,39.9,21.6,0.0075,,
0.9010,112,40.5,21.6,0.0070,,
0.9090,113,41.3,21.6,0.0065,,
0.9175,114,41.9,21.6,0.0070,,
0.9250,115,42.5,21.6,0.0070,,
0.9335,116,43.2,21.6,0.0075,,
0.9420,117,44.6,21.6,0.0075,,
0.9505,118,46.0,21.6,0.0070,,
0.9590,119,46.7,21.6,0.0070,,
0.9675,120,47.2,21.6,0.0070,,
0.9750,121,47.2,21.6,0.0070,,
0.9835,122,48.0,21.6,0.0075,,
0.9915,123,48.7,21.6,0.0075,,
1.0000,124,49.4,21.6,0.0070,,
1.0085,125,50.1,21.6,0.0070,,
1.0170,126,50.8,21.6,0.0070,,
1.0245,127,51.5,21.6,0.0070,,
1.0330,128,52.7,21.6,0.0075,,
1.0415,129,53.4,21.6,0.0075,,
1.0500,130,54.6,21.6,0.0070,,
1.0585,131,55.7,21.6,0.0070,,
1.0665,132,56.4,21.6,0.0065,,
1.0745,133,57.1,21.6,0.0075,,
1.0825,134,57.9,21.6,0.0075,,
1.0910,135,58.8,21.6,0.0075,,
1.0995,136,59.3,21.6,0.0070,,
1.1080,137,60.5,21.6,0.0070,,
1.1165,138,61.4,21.6,0.0070,,
1.1240,139,62.2,21.6,0.0070,,
1.1325,140,63.0,21.6,0.0075,,
1.1410,141,63.4,21.6,0.0075,,
1.1490,142,63.7,21.6,0.0065,,
1.1575,143,64.6,21.6,0.0070,,
1.1660,144,65.9,21.6,0.0070,,
1.1735,145,66.6,21.6,0.0070,,
1.1820,146,67.3,21.6,0.0075,,
1.1905,147,68.7,21.6,0.0075,,
1.1990,148,70.0,21.6,0.0070,,
1.2075,149,70.9,21.6,0.0070,,
1.2155,150,72.4,21.6,0.0065,,
1.2235,151,73.6,21.6,0.0075,,
1.2315,152,75.2,21.6,0.0075,,
1.2400,153,76.4,21.6,0.0075,,
1.2485,154,77.6,21.6,0.0070,,
1.2570,155,79.3,21.6,0.0070,,
1.2655,156,80.5,21.6,0.0070,,
1.2730,157,81.2,21.6,0.0070,,
1.2815,158,83.3,21.6,0.0075,,
1.2900,159,84.6,21.6,0.0070,,
1.2985,160,86.0,21.6,0.0070,,
1.3065,161,87.6,21.6,0.0065,,
1.3150,162,89.2,21.6,0.0070,,
1.3225,163,91.2,21.6,0.0070,,
1.3310,164,92.9,21.6,0.0075,,
1.3395,165,94.3,21.6,0.0070,,
1.3480,166,96.8,21.6,0.0070,,
1.3565,167,99.8,21.6,0.0070,,
1.3650,168,101.9,21.6,0.0075,,
1.3725,169,104.5,21.6,0.0070,,
1.3810,170,107.0,21.6,0.0075,,
1.3890,171,110.1,21.6,0.0065,,
1.3975,172,113.5,21.6,0.0070,,
1.4060,173,116.7,21.6,0.0070,,
1.4145,174,120.6,21.6,0.0075,,
1.4220,175,125.0,21.6,0.0070,,
1.4305,176,129.4,21.6,0.0075,,
1.4390,177,134.4,21.6,0.0070,,
1.4475,178,139.0,21.6,0.0070,,
1.4560,179,143.8,21.6,0.0070,,
1.4640,180,147.5,21.6,0.0075,,
1.4720,181,152.1,21.6,0.0075,,
1.4800,182,155.9,21.6,0.0075,,
1.4885,183,159.7,21.6,0.0070,,
1.4970,184,163.5,21.6,0.0070,,
1.5055,185,166.8,21.6,0.0070,,
1.5140,186,169.3,21.6,0.0075,,
1.5215,187,172.1,21.6,0.0070,,
1.5300,188,174.7,21.6,0.0075,,
1.5385,189,177.1,21.6,0.0070,,
1.5465,190,179.2,21.6,0.0065,,
1.5550,191,181.1,21.6,0.0070,,
1.5635,192,182.8,21.6,0.0070,,
1.5700,193,184.4,21.6,0.0060,,
1.5760,194,185.9,21.6,0.0055,,
1.5780,195,186.5,21.6,0.0015,,
1.5790,196,187.5,21.6,0.0010,,
1.5800,197,187.5,21.6,0.0010,,
1.5805,198,187.8,21.6,0.0005,,
1.5810,199,187.5,21.6,0.0005,,
1.5820,200,188.0,21.6,0.0010,,
1.5835,201,188.4,21.6,0.0015,,
1.5860,202,188.6,21.6,0.0020,,
1.5885,203,188.6,21.6,0.0020,,
1.5900,204,188.8,21.6,0.0010,,
1.5905,205,189.8,21.6,0.0005,,
1.5910,206,190.0,21.6,0.0005,,
1.5920,207,190.1,21.6,0.0010,,
Result,TitrationEP2
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,190.1,21.9,NaN,,
0.0005,1,189.5,21.9,0.0005,,
0.0020,2,189.2,21.9,0.0015,,
0.0050,3,189.2,21.9,0.0025,,
0.0090,4,189.6,21.9,0.0035,,
0.0150,5,190.2,21.9,0.0050,,
0.0235,6,191.0,21.9,0.0075,,
0.0310,7,192.2,21.9,0.0070,,
0.0395,8,193.7,21.9,0.0075,,
0.0480,9,194.8,21.9,0.0070,,
0.0565,10,196.2,21.9,0.0070,,
0.0650,11,197.4,21.9,0.0070,,
0.0730,12,198.6,21.9,0.0075,,
0.0810,13,198.9,21.9,0.0075,,
0.0890,14,199.7,21.9,0.0075,,
0.0975,15,200.4,21.9,0.0070,,
0.1060,16,201.2,21.9,0.0070,,
0.1145,17,202.4,21.9,0.0070,,
0.1230,18,203.3,21.9,0.0075,,
0.1305,19,204.0,21.9,0.0070,,
0.1390,20,204.8,21.9,0.0075,,
0.1475,21,205.3,21.9,0.0070,,
0.1555,22,205.8,21.9,0.0065,,
0.1640,23,206.6,21.9,0.0070,,
0.1715,24,207.4,21.9,0.0070,,
0.1800,25,208.3,21.9,0.0075,,
0.1885,26,209.1,21.9,0.0075,,
0.1970,27,209.9,21.9,0.0070,,
0.2055,28,210.9,21.9,0.0070,,
0.2140,29,211.6,21.9,0.0070,,
0.2220,30,212.1,21.9,0.0075,,
0.2300,31,212.7,21.9,0.0075,,
0.2380,32,213.3,21.9,0.0075,,
0.2465,33,213.9,21.9,0.0070,,
0.2550,34,214.1,21.9,0.0070,,
0.2635,35,214.6,21.9,0.0070,,
0.2720,36,215.3,21.9,0.0070,,
0.2795,37,215.6,21.9,0.0070,,
0.2880,38,216.5,21.9,0.0075,,
0.2965,39,216.8,21.9,0.0070,,
0.3050,40,217.0,21.9,0.0070,,
0.3130,41,217.4,21.9,0.0065,,
0.3215,42,218.3,21.9,0.0075,,
0.3290,43,218.8,21.9,0.0070,,
