Raw Data
Scope 1/1, Sample 1/9 (165)
Method Function,Sample (S1)
0.5775,73,229.1,21.8,0.0070,,
0.5860,74,229.3,21.8,0.0075,,
0.5945,75,229.5,21.8,0.0070,,
0.6030,76,229.8,21.8,0.0070,,
0.6110,77,229.7,21.8,0.0065,,
0.6195,78,229.9,21.8,0.0075,,
0.6270,79,230.0,21.8,0.0070,,
0.6355,80,230.6,21.8,0.0075,,
0.6440,81,231.6,21.8,0.0070,,
0.6525,82,231.7,21.8,0.0070,,
0.6610,83,231.6,21.8,0.0070,,
0.6685,84,231.6,21.8,0.0070,,
0.6770,85,232.1,21.8,0.0075,,
0.6855,86,232.0,21.8,0.0075,,
0.6935,87,232.1,21.8,0.0065,,
0.7020,88,232.5,21.8,0.0070,,
0.7105,89,233.0,21.8,0.0070,,
0.7190,90,233.1,21.8,0.0075,,
0.7265,91,233.3,21.8,0.0070,,
0.7350,92,233.7,21.8,0.0075,,
0.7435,93,233.9,21.8,0.0070,,
0.7520,94,234.1,21.8,0.0070,,
0.7600,95,234.4,21.8,0.0065,,
0.7685,96,234.4,21.8,0.0075,,
0.7760,97,234.6,21.8,0.0070,,
0.7845,98,234.8,21.8,0.0075,,
0.7930,99,235.0,21.8,0.0070,,
0.8015,100,235.2,21.8,0.0070,,
0.8095,101,235.7,21.8,0.0065,,
0.8180,102,235.9,21.8,0.0070,,
0.8255,103,236.5,21.8,0.0070,,
0.8340,104,236.5,21.8,0.0075,,
0.8425,105,236.5,21.8,0.0070,,
0.8510,106,236.7,21.8,0.0070,,
0.8595,107,236.9,21.8,0.0070,,
0.8665,108,237.5,21.8,0.0065,,
0.8740,109,238.1,21.8,0.0070,,
0.8755,110,238.0,21.8,0.0015,,
0.8760,111,238.4,21.8,0.0005,,
0.8770,112,238.6,21.8,0.0010,,
0.8775,113,238.6,21.8,0.0005,,
0.8785,114,238.3,21.8,0.0010,,
0.8800,115,238.5,21.8,0.0015,,
0.8825,116,238.3,21.8,0.0025,,
0.8860,117,238.3,21.8,0.0030,,
0.8905,118,238.2,21.8,0.0035,,
0.8965,119,238.1,21.8,0.0050,,
0.9035,120,238.7,21.8,0.0065,,
0.9045,121,238.8,21.8,0.0010,,
0.9050,122,238.9,21.8,0.0005,,
0.9055,123,238.9,21.8,0.0005,,
0.9055,124,239.0,21.8,0.0000,,
0.9065,125,239.2,21.8,0.0010,,
0.9075,126,239.3,21.8,0.0010,,
0.9085,127,239.0,21.8,0.0010,,
0.9095,128,238.8,21.8,0.0010,,
0.9100,129,238.8,21.8,0.0005,,
0.9105,130,238.8,21.8,0.0005,,
0.9115,131,239.0,21.8,0.0010,,
0.9125,132,239.1,21.8,0.0010,,
0.9135,133,239.3,21.8,0.0010,,
0.9160,134,239.1,21.8,0.0025,,
0.9170,135,239.2,21.8,0.0010,,
0.9175,136,239.5,21.8,0.0005,,
0.9185,137,239.5,21.8,0.0010,,
0.9195,138,239.6,21.8,0.0010,,
0.9215,139,239.7,21.8,0.0020,,
0.9240,140,239.4,21.8,0.0025,,
0.9275,141,239.5,21.8,0.0030,,
0.9285,142,239.7,21.8,0.0010,,
0.9295,143,239.8,21.8,0.0010,,
0.9305,144,239.5,21.8,0.0010,,
0.9315,145,239.4,21.8,0.0010,,
0.9325,146,239.6,21.8,0.0010,,
0.9335,147,239.3,21.8,0.0010,,
0.9345,148,239.4,21.8,0.0010,,
0.9350,149,239.6,21.8,0.0005,,
0.9355,150,239.3,21.8,0.0005,,
0.9365,151,239.0,21.8,0.0010,,
0.9370,152,240.0,21.8,0.0005,,
Scope 1/1, Sample 4/9 (206)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-100.2,21.5,NaN,,
0.0005,1,-104.4,21.4,0.0005,,
0.0020,2,-104.7,21.4,0.0015,,
0.0050,3,-105.1,21.4,0.0025,,
0.0085,4,-105.1,21.4,0.0030,,
0.0145,5,-105.2,21.4,0.0050,,
0.0230,6,-105.2,21.4,0.0070,,
0.0315,7,-104.0,21.4,0.0075,,
0.0390,8,-103.7,21.4,0.0070,,
0.0475,9,-103.5,21.4,0.0075,,
0.0560,10,-103.3,21.4,0.0070,,
0.0640,11,-102.6,21.4,0.0065,,
0.0725,12,-102.2,21.4,0.0070,,
0.0810,13,-101.2,21.4,0.0075,,
0.0885,14,-100.5,21.4,0.0070,,
0.0970,15,-99.7,21.4,0.0075,,
0.1055,16,-99.2,21.4,0.0075,,
0.1140,17,-98.7,21.4,0.0070,,
0.1220,18,-98.1,21.4,0.0065,,
0.1305,19,-97.3,21.4,0.0070,,
0.1380,20,-97.0,21.4,0.0070,,
0.1465,21,-96.3,21.4,0.0075,,
0.1550,22,-95.1,21.4,0.0075,,
0.1635,23,-93.9,21.4,0.0070,,
0.1720,24,-93.1,21.4,0.0070,,
0.1805,25,-92.4,21.4,0.0070,,
0.1880,26,-91.9,21.4,0.0070,,
0.1965,27,-90.8,21.4,0.0070,,
0.2050,28,-89.9,21.4,0.0070,,
0.2130,29,-89.0,21.4,0.0065,,
0.2215,30,-87.8,21.4,0.0070,,
0.2300,31,-87.0,21.4,0.0075,,
0.2375,32,-85.6,21.4,0.0070,,
0.2460,33,-84.5,21.4,0.0075,,
0.2545,34,-83.2,21.4,0.0070,,
0.2630,35,-82.0,21.4,0.0070,,
0.2715,36,-80.9,21.4,0.0070,,
0.2800,37,-80.1,21.4,0.0075,,
0.2875,38,-79.0,21.4,0.0070,,
0.2960,39,-77.5,21.4,0.0075,,
0.3040,40,-75.8,21.4,0.0065,,
0.3125,41,-74.5,21.4,0.0070,,
0.3210,42,-73.2,21.4,0.0070,,
0.3285,43,-72.4,21.4,0.0070,,
0.3370,44,-70.9,21.4,0.0075,,
0.3455,45,-68.7,21.4,0.0075,,
0.3540,46,-66.5,21.4,0.0070,,
0.3625,47,-64.6,21.4,0.0070,,
0.3705,48,-62.7,21.4,0.0065,,
0.3785,49,-61.0,21.4,0.0075,,
0.3870,50,-59.0,21.4,0.0075,,
0.3950,51,-57.0,21.4,0.0075,,
0.4035,52,-54.5,21.4,0.0070,,
0.4120,53,-51.9,21.4,0.0070,,
0.4205,54,-48.9,21.4,0.0070,,
0.4280,55,-46.2,21.4,0.0070,,
0.4365,56,-43.3,21.4,0.0075,,
0.4450,57,-39.7,21.4,0.0075,,
0.4535,58,-36.1,21.4,0.0070,,
0.4615,59,-32.2,21.4,0.0065,,
0.4700,60,-28.3,21.4,0.0070,,
0.4775,61,-25.2,21.4,0.0070,,
0.4860,62,-20.5,21.4,0.0075,,
0.4945,63,-15.8,21.4,0.0075,,
0.5030,64,-12.0,21.4,0.0070,,
0.5115,65,-7.9,21.4,0.0070,,
0.5200,66,-4.8,21.4,0.0070,,
0.5275,67,-2.3,21.4,0.0070,,
0.5360,68,0.8,21.4,0.0075,,
0.5440,69,2.6,21.4,0.0075,,
0.5525,70,4.6,21.4,0.0070,,
0.5610,71,6.5,21.4,0.0070,,
0.5695,72,7.9,21.4,0.0070,,
0.5780,73,9.6,21.4,0.0075,,
0.5855,74,10.8,21.4,0.0070,,
0.5940,75,11.8,21.4,0.0075,,
0.6020,76,12.9,21.4,0.0075,,
0.6105,77,14.4,21.4,0.0070,,
0.6190,78,15.6,21.4,0.0070,,
0.6275,79,16.9,21.4,0.0070,,
0.6350,80,18.1,21.4,0.0070,,
0.6435,81,19.1,21.4,0.0075,,
0.6520,82,20.5,21.4,0.0070,,
0.6605,83,22.1,21.4,0.0070,,
0.6685,84,23.1,21.5,0.0065,,
0.6770,85,23.7,21.4,0.0075,,
0.6850,86,24.9,21.5,0.0075,,
0.6930,87,25.8,21.4,0.0075,,
0.7015,88,26.8,21.4,0.0070,,
0.7100,89,28.0,21.5,0.0070,,
0.7185,90,29.4,21.5,0.0070,,
0.7270,91,30.4,21.5,0.0075,,
0.7345,92,31.2,21.4,0.0070,,
0.7430,93,31.8,21.4,0.0075,,
0.7515,94,33.1,21.5,0.0070,,
0.7595,95,33.8,21.5,0.0065,,
0.7680,96,34.6,21.5,0.0070,,
0.7765,97,35.2,21.5,0.0075,,
0.7840,98,36.5,21.5,0.0070,,
0.7925,99,37.4,21.5,0.0075,,
0.8010,100,38.7,21.5,0.0070,,
0.8095,101,39.2,21.5,0.0070,,
0.8180,102,40.1,21.5,0.0070,,
0.8260,103,40.9,21.5,0.0075,,
0.8340,104,41.8,21.5,0.0075,,
0.8420,105,43.1,21.5,0.0065,,
0.8505,106,44.0,21.5,0.0070,,
0.8590,107,45.1,21.5,0.0070,,
0.8675,108,45.9,21.5,0.0070,,
0.8750,109,46.4,21.5,0.0070,,
0.8835,110,47.0,21.5,0.0075,,
0.8920,111,48.1,21.5,0.0075,,
0.9005,112,49.6,21.5,0.0070,,
0.9085,113,50.5,21.5,0.0065,,
0.9170,114,52.1,21.5,0.0070,,
0.9255,115,53.0,21.5,0.0070,,
0.9330,116,54.1,21.5,0.0070,,
0.9415,117,54.7,21.5,0.0075,,
0.9500,118,55.6,21.5,0.0070,,
0.9585,119,56.7,21.5,0.0070,,
0.9670,120,57.6,21.5,0.0070,,
0.9750,121,58.8,21.5,0.0065,,
0.9830,122,59.5,21.5,0.0075,,
0.9910,123,60.2,21.5,0.0075,,
0.9995,124,61.2,21.5,0.0075,,
1.0080,125,62.2,21.5,0.0070,,
1.0165,126,62.9,21.5,0.0070,,
1.0250,127,64.2,21.5,0.0070,,
1.0325,128,64.8,21.5,0.0070,,
1.0410,129,66.0,21.5,0.0075,,
1.0495,130,67.5,21.5,0.0075,,
1.0575,131,68.7,21.5,0.0065,,
1.0660,132,69.6,21.5,0.0070,,
1.0745,133,71.1,21.5,0.0070,,
1.0820,134,72.8,21.5,0.0070,,
1.0905,135,73.7,21.5,0.0075,,
1.0990,136,75.4,21.5,0.0075,,
1.1075,137,76.9,21.5,0.0070,,
1.1160,138,77.8,21.5,0.0070,,
1.1240,139,79.6,21.5,0.0065,,
1.1320,140,81.2,21.5,0.0075,,
1.1405,141,82.5,21.5,0.0075,,
1.1485,142,84.1,21.5,0.0065,,
1.1570,143,86.3,21.5,0.0070,,
1.1655,144,87.6,21.5,0.0070,,
1.1740,145,89.6,21.5,0.0075,,
1.1815,146,91.8,21.5,0.0070,,
1.1900,147,94.9,21.5,0.0075,,
1.1985,148,98.0,21.5,0.0075,,
1.2070,149,99.5,21.5,0.0070,,
1.2150,150,101.6,21.5,0.0065,,
1.2235,151,104.3,21.5,0.0070,,
1.2310,152,107.7,21.5,0.0070,,
1.2395,153,111.8,21.5,0.0075,,
1.2480,154,115.1,21.5,0.0075,,
1.2565,155,119.2,21.5,0.0070,,
1.2650,156,123.3,21.5,0.0070,,
1.2730,157,127.7,21.5,0.0065,,
1.2810,158,130.8,21.5,0.0075,,
1.2890,159,136.7,21.5,0.0075,,
1.2975,160,141.8,21.5,0.0075,,
1.3060,161,146.3,21.5,0.0070,,
1.3145,162,150.8,21.5,0.0070,,
1.3230,163,155.5,21.5,0.0070,,
1.3305,164,159.3,21.5,0.0070,,
1.3390,165,163.1,21.5,0.0075,,
1.3475,166,166.4,21.5,0.0070,,
1.3560,167,169.5,21.5,0.0070,,
1.3640,168,172.1,21.5,0.0065,,
1.3725,169,174.6,21.5,0.0070,,
1.3800,170,175.7,21.5,0.0070,,
1.3885,171,177.5,21.5,0.0075,,
1.3970,172,179.8,21.5,0.0075,,
1.4050,173,181.6,21.5,0.0065,,
1.4135,174,183.3,21.5,0.0070,,
1.4190,175,184.8,21.5,0.0045,,
1.4190,176,185.8,21.5,0.0000,,
1.4220,177,186.7,21.5,0.0025,,
1.4230,178,187.1,21.5,0.0010,,
1.4250,179,187.4,21.5,0.0015,,
1.4270,180,187.5,21.5,0.0015,,
1.4295,181,187.5,21.5,0.0020,,
1.4295,182,187.8,21.5,0.0000,,
1.4300,183,188.0,21.5,0.0005,,
1.4305,184,188.1,21.5,0.0005,,
1.4305,185,188.1,21.5,0.0000,,
1.4330,186,188.5,21.5,0.0020,,
1.4330,187,188.8,21.5,0.0000,,
1.4340,188,188.6,21.5,0.0010,,
1.4345,189,188.9,21.5,0.0005,,
1.4350,190,188.9,21.5,0.0005,,
1.4355,191,190.1,21.5,0.0010,,
Result,TitrationEP2
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,190.1,21.8,NaN,,
0.0005,1,190.1,21.8,0.0005,,
0.0020,2,190.3,21.8,0.0015,,
0.0050,3,190.4,21.8,0.0025,,
0.0085,4,190.7,21.8,0.0030,,
0.0145,5,191.0,21.8,0.0050,,
0.0230,6,191.8,21.8,0.0070,,
0.0305,7,193.5,21.8,0.0070,,
0.0390,8,194.6,21.8,0.0075,,
0.0470,9,195.4,21.8,0.0075,,
0.0555,10,196.3,21.8,0.0070,,
0.0640,11,197.5,21.8,0.0070,,
0.0725,12,198.0,21.8,0.0070,,
0.0800,13,199.4,21.8,0.0070,,
0.0885,14,200.3,21.8,0.0075,,
0.0970,15,201.2,21.8,0.0075,,
0.1055,16,202.3,21.8,0.0070,,
0.1135,17,202.9,21.8,0.0065,,
0.1220,18,203.5,21.8,0.0070,,
0.1295,19,204.1,21.8,0.0070,,
0.1380,20,204.6,21.8,0.0075,,
0.1465,21,205.2,21.8,0.0075,,
0.1550,22,206.1,21.8,0.0070,,
0.1635,23,207.2,21.8,0.0070,,
0.1720,24,207.5,21.8,0.0070,,
0.1795,25,207.9,21.8,0.0070,,
0.1880,26,208.8,21.8,0.0075,,
0.1965,27,209.4,21.8,0.0075,,
0.2045,28,210.2,21.8,0.0065,,
0.2130,29,211.1,21.8,0.0070,,
0.2215,30,211.9,21.8,0.0070,,
0.2290,31,212.3,21.8,0.0070,,
0.2375,32,213.1,21.8,0.0075,,
0.2460,33,213.6,21.8,0.0075,,
0.2545,34,214.2,21.8,0.0070,,
0.2630,35,215.0,21.8,0.0070,,
0.2710,36,215.6,21.8,0.0065,,
0.2790,37,215.8,21.8,0.0075,,
0.2870,38,216.4,21.8,0.0075,,
0.2955,39,217.0,21.8,0.0075,,
0.3040,40,217.3,21.8,0.0070,,
0.3125,41,217.4,21.8,0.0070,,
0.3210,42,217.9,21.8,0.0070,,
0.3285,43,218.6,21.8,0.0070,,
0.3370,44,218.6,21.8,0.0075,,
0.3455,45,218.9,21.8,0.0075,,
0.3535,46,219.0,21.8,0.0065,,
0.3620,47,219.6,21.8,0.0070,,
0.3705,48,219.8,21.8,0.0075,,
0.3780,49,220.2,21.8,0.0070,,
0.3865,50,220.7,21.8,0.0075,,
0.3950,51,221.1,21.8,0.0070,,
0.4035,52,222.1,21.8,0.0070,,
0.4120,53,222.6,21.8,0.0070,,
0.4205,54,223.0,21.8,0.0075,,
0.4280,55,223.6,21.8,0.0070,,
0.4365,56,224.1,21.8,0.0075,,
0.4445,57,224.4,21.8,0.0065,,
0.4530,58,224.8,21.8,0.0070,,
0.4615,59,225.2,21.8,0.0070,,
0.4700,60,225.3,21.8,0.0075,,
0.4775,61,225.5,21.8,0.0070,,
0.4860,62,226.0,21.8,0.0075,,
0.4945,63,226.5,21.8,0.0070,,
0.5030,64,226.9,21.8,0.0070,,
0.5115,65,226.7,21.8,0.0070,,
0.5190,66,227.4,21.8,0.0070,,
0.5275,67,227.7,21.8,0.0075,,
0.5355,68,228.0,21.8,0.0075,,
0.5440,69,228.3,21.8,0.0070,,
0.5525,70,228.7,21.8,0.0070,,
0.5610,71,229.0,21.8,0.0070,,
0.5695,72,229.0,21.8,0.0075,,
0.5770,73,229.6,21.8,0.0070,,
0.5855,74,229.9,21.8,0.0075,,
0.5940,75,230.2,21.8,0.0070,,
0.6020,76,230.4,21.8,0.0065,,
0.6105,77,230.8,21.8,0.0070,,
0.6190,78,230.7,21.8,0.0075,,
0.6265,79,231.2,21.8,0.0070,,
0.6350,80,231.5,21.8,0.0075,,
0.6435,81,231.8,21.8,0.0070,,
0.6520,82,232.1,21.8,0.0070,,
0.6605,83,232.4,21.8,0.0070,,
0.6685,84,232.3,21.8,0.0075,,
0.6760,85,232.4,21.8,0.0070,,
0.6845,86,232.8,21.8,0.0075,,
0.6930,87,233.0,21.8,0.0070,,
0.7015,88,233.4,21.8,0.0070,,
0.7100,89,233.8,21.8,0.0070,,
0.7185,90,233.8,21.8,0.0075,,
0.7260,91,233.3,21.8,0.0070,,
0.7345,92,233.9,21.8,0.0075,,
0.7430,93,233.7,21.8,0.0070,,
0.7510,94,234.2,21.8,0.0065,,
0.7595,95,234.8,21.8,0.0070,,
0.7675,96,234.8,21.8,0.0075,,
0.7755,97,235.4,21.8,0.0075,,
0.7840,98,235.9,21.8,0.0075,,
0.7925,99,236.2,21.8,0.0070,,
0.8010,100,236.4,21.8,0.0070,,
0.8095,101,236.6,21.8,0.0070,,
0.8170,102,236.9,21.8,0.0070,,
0.8255,103,236.7,21.8,0.0075,,
0.8340,104,236.8,21.8,0.0075,,
0.8420,105,236.4,21.8,0.0065,,
0.8505,106,236.6,21.8,0.0070,,
0.8590,107,236.8,21.8,0.0070,,
0.8665,108,237.1,21.8,0.0070,,
0.8720,109,237.3,21.8,0.0050,,
0.8790,110,237.3,21.8,0.0060,,
0.8875,111,237.6,21.8,0.0070,,
0.8960,112,238.2,21.8,0.0070,,
0.9040,113,238.3,21.8,0.0075,,
0.9115,114,238.9,21.8,0.0070,,
0.9200,115,239.5,21.8,0.0075,,
0.9225,116,239.6,21.8,0.0020,,
0.9230,117,239.6,21.8,0.0005,,
0.9240,118,239.7,21.8,0.0010,,
0.9250,119,239.8,21.9,0.0010,,
0.9255,120,239.7,21.8,0.0005,,
0.9260,121,239.1,21.8,0.0005,,
0.9275,122,239.2,21.9,0.0010,,
0.9285,123,239.1,21.9,0.0010,,
0.9295,124,238.7,21.9,0.0010,,
0.9300,125,239.6,21.8,0.0005,,
0.9305,126,239.3,21.8,0.0005,,
0.9310,127,238.9,21.9,0.0005,,
0.9320,128,238.9,21.9,0.0010,,
0.9325,129,238.7,21.9,0.0005,,
0.9335,130,238.8,21.8,0.0010,,
0.9340,131,240.0,21.8,0.0010,,
Scope 1/1, Sample 5/9 (208)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-98.4,21.6,NaN,,
0.0005,1,-101.7,21.5,0.0005,,
0.0020,2,-102.1,21.4,0.0015,,
0.0050,3,-102.6,21.4,0.0025,,
0.0085,4,-102.8,21.4,0.0030,,
0.0145,5,-102.9,21.4,0.0050,,
0.0230,6,-102.4,21.4,0.0070,,
0.0305,7,-102.1,21.4,0.0070,,
0.0390,8,-102.2,21.4,0.0075,,
0.0475,9,-102.0,21.4,0.0075,,
0.0560,10,-102.1,21.4,0.0070,,
0.0645,11,-101.6,21.4,0.0070,,
0.0725,12,-101.1,21.4,0.0065,,
0.0805,13,-100.3,21.4,0.0075,,
0.0885,14,-99.9,21.4,0.0075,,
0.0970,15,-99.4,21.4,0.0075,,
0.1055,16,-98.2,21.4,0.0070,,
0.1140,17,-97.5,21.4,0.0070,,
0.1225,18,-97.1,21.4,0.0070,,
0.1300,19,-96.8,21.4,0.0070,,
0.1385,20,-96.1,21.4,0.0075,,
0.1470,21,-95.4,21.4,0.0075,,
0.1550,22,-94.1,21.4,0.0065,,
0.1635,23,-93.0,21.4,0.0070,,
0.1720,24,-91.9,21.4,0.0070,,
0.1795,25,-91.2,21.4,0.0070,,
0.1880,26,-90.5,21.4,0.0075,,
0.1965,27,-89.5,21.4,0.0075,,
0.2050,28,-88.5,21.4,0.0070,,
0.2135,29,-87.9,21.4,0.0070,,
0.2220,30,-87.2,21.4,0.0075,,
0.2295,31,-86.8,21.4,0.0070,,
0.2380,32,-85.9,21.4,0.0075,,
0.2460,33,-84.7,21.4,0.0065,,
0.2545,34,-83.7,21.4,0.0070,,
0.2630,35,-82.6,21.4,0.0070,,
0.2715,36,-81.5,21.4,0.0070,,
0.2790,37,-80.5,21.4,0.0070,,
0.2875,38,-79.2,21.4,0.0075,,
0.2960,39,-78.1,21.4,0.0070,,
0.3045,40,-76.8,21.4,0.0070,,
0.3125,41,-75.1,21.4,0.0065,,
0.3210,42,-74.1,21.4,0.0075,,
0.3285,43,-72.9,21.4,0.0070,,
0.3370,44,-71.4,21.4,0.0075,,
0.3455,45,-69.9,21.4,0.0070,,
0.3540,46,-68.2,21.4,0.0070,,
0.3625,47,-66.6,21.4,0.0070,,
0.3710,48,-64.8,21.4,0.0070,,
0.3785,49,-63.2,21.4,0.0070,,
0.3870,50,-61.3,21.4,0.0075,,
0.3950,51,-59.2,21.4,0.0075,,
0.4035,52,-57.1,21.5,0.0070,,
0.4120,53,-55.0,21.4,0.0070,,
0.4205,54,-52.5,21.4,0.0070,,
0.4280,55,-50.3,21.4,0.0070,,
0.4365,56,-47.4,21.5,0.0075,,
0.4450,57,-44.2,21.4,0.0075,,
0.4535,58,-41.1,21.5,0.0070,,
0.4615,59,-37.4,21.5,0.0065,,
0.4700,60,-33.7,21.5,0.0070,,
0.4775,61,-30.3,21.5,0.0070,,
0.4860,62,-26.4,21.5,0.0075,,
0.4945,63,-22.2,21.5,0.0075,,
0.5030,64,-17.8,21.5,0.0070,,
0.5115,65,-13.7,21.5,0.0070,,
0.5200,66,-9.3,21.5,0.0070,,
0.5275,67,-6.4,21.5,0.0070,,
0.5360,68,-3.6,21.5,0.0075,,
0.5440,69,-1.1,21.5,0.0075,,
0.5525,70,1.7,21.5,0.0070,,
0.5610,71,3.7,21.5,0.0070,,
0.5695,72,5.4,21.5,0.0070,,
0.5770,73,6.6,21.5,0.0070,,
0.5855,74,8.3,21.5,0.0075,,
0.5940,75,9.7,21.5,0.0070,,
0.6025,76,10.8,21.5,0.0070,,
0.6110,77,12.5,21.5,0.0070,,
0.6190,78,13.8,21.5,0.0075,,
0.6270,79,15.0,21.5,0.0075,,
0.6350,80,15.7,21.5,0.0075,,
0.6435,81,16.6,21.5,0.0070,,
0.6520,82,17.5,21.5,0.0070,,
0.6605,83,18.4,21.5,0.0070,,
0.6690,84,19.6,21.5,0.0075,,
0.6765,85,20.9,21.5,0.0070,,
0.6850,86,21.9,21.5,0.0075,,
0.6935,87,22.5,21.5,0.0070,,
0.7020,88,23.3,21.5,0.0070,,
0.7100,89,24.3,21.5,0.0065,,
0.7185,90,25.2,21.5,0.0075,,
0.7260,91,26.2,21.5,0.0070,,
0.7345,92,27.0,21.5,0.0075,,
0.7430,93,27.8,21.5,0.0070,,
0.7515,94,28.8,21.5,0.0070,,
0.7600,95,29.7,21.5,0.0070,,
0.7685,96,30.9,21.5,0.0075,,
0.7760,97,31.4,21.5,0.0070,,
0.7845,98,32.3,21.5,0.0075,,
0.7925,99,33.5,21.5,0.0065,,
0.8010,100,35.0,21.5,0.0070,,
0.8095,101,35.8,21.5,0.0070,,
0.8170,102,35.9,21.5,0.0070,,
0.8255,103,36.9,21.5,0.0075,,
0.8340,104,38.1,21.5,0.0075,,
0.8425,105,38.8,21.5,0.0070,,
0.8510,106,39.3,21.5,0.0070,,
0.8590,107,40.0,21.5,0.0065,,
0.8675,108,40.5,21.5,0.0075,,
0.8750,109,41.3,21.5,0.0070,,
0.8835,110,42.2,21.5,0.0075,,
0.8920,111,43.1,21.5,0.0070,,
0.9005,112,44.1,21.5,0.0070,,
0.9090,113,45.3,21.5,0.0070,,
0.9165,114,46.1,21.5,0.0070,,
0.9250,115,47.3,21.5,0.0075,,
0.9335,116,48.3,21.5,0.0075,,
0.9420,117,48.9,21.5,0.0070,,
0.9500,118,50.1,21.5,0.0065,,
0.9585,119,51.1,21.5,0.0070,,
0.9660,120,51.4,21.5,0.0070,,
0.9745,121,52.2,21.5,0.0075,,
0.9830,122,52.9,21.5,0.0075,,
0.9915,123,54.2,21.5,0.0070,,
1.0000,124,55.3,21.5,0.0070,,
1.0085,125,56.2,21.5,0.0070,,
1.0160,126,57.2,21.5,0.0070,,
1.0245,127,58.2,21.5,0.0075,,
1.0325,128,59.3,21.5,0.0075,,
1.0410,129,60.1,21.5,0.0070,,
1.0495,130,60.9,21.5,0.0070,,
1.0580,131,61.8,21.5,0.0070,,
1.0665,132,62.7,21.5,0.0075,,
1.0740,133,63.8,21.5,0.0070,,
1.0825,134,64.7,21.5,0.0075,,
1.0910,135,65.6,21.5,0.0070,,
1.0990,136,66.9,21.5,0.0065,,
1.1075,137,67.9,21.5,0.0070,,
1.1160,138,68.9,21.5,0.0075,,
1.1235,139,70.2,21.5,0.0070,,
1.1320,140,71.4,21.5,0.0075,,
1.1405,141,72.6,21.5,0.0070,,
1.1490,142,73.8,21.5,0.0070,,
1.1575,143,74.8,21.5,0.0070,,
1.1655,144,76.0,21.5,0.0075,,
1.1735,145,77.4,21.5,0.0075,,
1.1815,146,78.5,21.5,0.0075,,
1.1900,147,79.8,21.5,0.0070,,
1.1985,148,81.1,21.5,0.0070,,
1.2070,149,82.3,21.5,0.0070,,
1.2145,150,83.5,21.5,0.0070,,
1.2230,151,84.8,21.5,0.0075,,
1.2315,152,86.6,21.5,0.0075,,
1.2400,153,88.7,21.5,0.0070,,
1.2480,154,91.0,21.5,0.0065,,
1.2565,155,92.7,21.5,0.0070,,
1.2650,156,94.5,21.5,0.0075,,
1.2725,157,96.6,21.5,0.0070,,
1.2810,158,99.2,21.5,0.0075,,
1.2895,159,101.8,21.5,0.0070,,
1.2980,160,105.0,21.5,0.0070,,
1.3065,161,108.7,21.5,0.0070,,
1.3140,162,112.1,21.5,0.0070,,
1.3225,163,115.9,21.5,0.0075,,
1.3310,164,119.5,21.5,0.0075,,
1.3390,165,123.7,21.5,0.0065,,
1.3475,166,128.4,21.5,0.0070,,
1.3560,167,132.0,21.5,0.0070,,
1.3635,168,136.3,21.5,0.0070,,
1.3720,169,141.7,21.5,0.0075,,
1.3805,170,145.8,21.5,0.0075,,
1.3890,171,150.1,21.5,0.0070,,
1.3975,172,155.4,21.5,0.0070,,
1.4055,173,158.7,21.5,0.0065,,
1.4140,174,161.8,21.5,0.0075,,
1.4215,175,165.2,21.5,0.0070,,
1.4300,176,168.7,21.5,0.0075,,
1.4385,177,171.8,21.5,0.0070,,
1.4470,178,174.4,21.5,0.0070,,
1.4555,179,176.6,21.5,0.0070,,
1.4640,180,177.5,21.5,0.0075,,
1.4715,181,179.6,21.5,0.0070,,
1.4795,182,181.6,21.5,0.0075,,
1.4875,183,183.3,21.5,0.0065,,
1.4940,184,185.1,21.5,0.0055,,
1.4975,185,186.8,21.5,0.0030,,
1.4995,186,187.6,21.5,0.0020,,
1.5005,187,187.9,21.5,0.0010,,
1.5020,188,188.2,21.5,0.0015,,
1.5040,189,187.9,21.5,0.0015,,
1.5060,190,187.9,21.5,0.0015,,
1.5060,191,188.0,21.5,0.0000,,
1.5090,192,188.4,21.5,0.0025,,
1.5095,193,188.5,21.5,0.0005,,
1.5100,194,188.6,21.5,0.0005,,
1.5110,195,188.9,21.5,0.0010,,
1.5110,196,188.8,21.5,0.0000,,
1.5120,197,190.0,21.5,0.0015,,
Result,TitrationEP2
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,190.0,21.9,NaN,,
0.0005,1,189.7,21.9,0.0005,,
0.0020,2,189.6,21.9,0.0015,,
0.0050,3,189.9,21.9,0.0025,,
0.0085,4,190.7,21.9,0.0030,,
0.0145,5,191.4,21.9,0.0050,,
0.0230,6,192.4,21.9,0.0070,,
0.0305,7,193.1,21.9,0.0070,,
0.0390,8,193.9,21.9,0.0075,,
0.0475,9,195.4,21.9,0.0075,,
0.0560,10,196.7,21.9,0.0070,,
0.0640,11,197.4,21.8,0.0065,,
0.0725,12,198.7,21.9,0.0070,,
0.0800,13,199.6,21.9,0.0070,,
0.0885,14,200.7,21.9,0.0075,,
0.0970,15,201.7,21.9,0.0075,,
