Raw Data
Scope 1/1, Sample 1/9 (2-Aug-16 Bin1)
Method Function,Sample (S1)
0.9150,118,238.2,21.8,0.0005,,
0.9155,119,238.3,21.8,0.0005,,
0.9165,120,238.5,21.8,0.0010,,
0.9175,121,238.8,21.8,0.0010,,
0.9185,122,239.2,21.8,0.0010,,
0.9195,123,239.3,21.8,0.0010,,
0.9205,124,239.2,21.8,0.0010,,
0.9210,125,239.0,21.8,0.0005,,
0.9220,126,239.3,21.8,0.0010,,
0.9225,127,238.8,21.8,0.0005,,
0.9235,128,238.9,21.8,0.0010,,
0.9245,129,239.2,21.8,0.0010,,
0.9260,130,239.6,21.8,0.0010,,
0.9270,131,239.7,21.8,0.0010,,
0.9280,132,239.7,21.8,0.0010,,
0.9290,133,239.6,21.8,0.0010,,
0.9295,134,239.6,21.8,0.0005,,
0.9305,135,239.5,21.8,0.0010,,
0.9315,136,239.3,21.8,0.0010,,
0.9325,137,239.5,21.8,0.0010,,
0.9330,138,239.6,21.8,0.0005,,
0.9345,139,239.6,21.8,0.0015,,
0.9355,140,239.8,21.8,0.0010,,
0.9365,141,239.5,21.8,0.0010,,
0.9375,142,239.6,21.8,0.0010,,
0.9375,143,239.4,21.8,0.0000,,
0.9390,144,239.7,21.8,0.0010,,
0.9395,145,239.6,21.8,0.0005,,
0.9405,146,239.4,21.8,0.0010,,
0.9410,147,239.8,21.8,0.0005,,
0.9415,148,240.1,21.8,0.0005,,
Scope 1/1, Sample 4/9 (2-Aug-16 Bin4)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-100.6,21.7,NaN,,
0.0005,1,-104.2,21.6,0.0005,,
0.0020,2,-104.3,21.6,0.0015,,
0.0050,3,-104.4,21.6,0.0025,,
0.0090,4,-104.0,21.6,0.0035,,
0.0150,5,-103.7,21.6,0.0050,,
0.0235,6,-103.6,21.6,0.0075,,
0.0310,7,-103.3,21.6,0.0070,,
0.0395,8,-102.7,21.6,0.0075,,
0.0480,9,-102.2,21.6,0.0070,,
0.0565,10,-101.7,21.6,0.0070,,
0.0650,11,-100.9,21.6,0.0070,,
0.0725,12,-100.3,21.6,0.0070,,
0.0810,13,-99.7,21.6,0.0075,,
0.0895,14,-99.2,21.6,0.0075,,
0.0975,15,-98.5,21.6,0.0065,,
0.1060,16,-97.8,21.6,0.0070,,
0.1145,17,-97.2,21.6,0.0070,,
0.1220,18,-96.5,21.6,0.0070,,
0.1305,19,-96.1,21.6,0.0075,,
0.1390,20,-95.6,21.6,0.0075,,
0.1475,21,-94.6,21.6,0.0070,,
0.1560,22,-94.0,21.6,0.0070,,
0.1640,23,-92.4,21.6,0.0065,,
0.1720,24,-91.9,21.6,0.0075,,
0.1800,25,-90.8,21.6,0.0075,,
0.1885,26,-89.8,21.6,0.0075,,
0.1970,27,-88.8,21.6,0.0070,,
0.2055,28,-87.9,21.6,0.0070,,
0.2140,29,-87.1,21.6,0.0070,,
0.2215,30,-86.0,21.6,0.0070,,
0.2300,31,-85.0,21.6,0.0075,,
0.2385,32,-83.8,21.6,0.0075,,
0.2465,33,-82.9,21.6,0.0065,,
0.2550,34,-81.7,21.6,0.0070,,
0.2635,35,-80.5,21.6,0.0070,,
0.2710,36,-79.3,21.6,0.0070,,
0.2795,37,-78.1,21.6,0.0075,,
0.2880,38,-77.0,21.6,0.0075,,
0.2965,39,-76.0,21.6,0.0070,,
0.3050,40,-74.5,21.6,0.0070,,
0.3130,41,-72.9,21.6,0.0065,,
0.3210,42,-71.7,21.6,0.0075,,
0.3290,43,-70.1,21.6,0.0075,,
0.3375,44,-68.4,21.6,0.0075,,
0.3460,45,-66.8,21.6,0.0070,,
0.3545,46,-65.2,21.6,0.0070,,
0.3630,47,-63.5,21.6,0.0070,,
0.3705,48,-61.7,21.6,0.0070,,
0.3790,49,-60.0,21.6,0.0075,,
0.3875,50,-58.3,21.6,0.0075,,
0.3955,51,-55.7,21.6,0.0065,,
0.4040,52,-53.2,21.6,0.0070,,
0.4125,53,-50.9,21.6,0.0070,,
0.4210,54,-49.0,21.6,0.0075,,
0.4285,55,-45.9,21.6,0.0070,,
0.4370,56,-42.7,21.6,0.0075,,
0.4455,57,-39.3,21.6,0.0070,,
0.4540,58,-36.3,21.6,0.0070,,
0.4620,59,-32.5,21.6,0.0065,,
0.4705,60,-29.0,21.6,0.0075,,
0.4780,61,-25.3,21.6,0.0070,,
0.4865,62,-20.7,21.6,0.0075,,
0.4950,63,-16.4,21.6,0.0070,,
0.5035,64,-12.7,21.6,0.0070,,
0.5120,65,-9.6,21.6,0.0070,,
0.5195,66,-6.0,21.6,0.0070,,
0.5280,67,-2.8,21.6,0.0075,,
0.5365,68,0.2,21.6,0.0075,,
0.5450,69,1.5,21.6,0.0070,,
0.5530,70,3.5,21.6,0.0065,,
0.5615,71,5.2,21.6,0.0070,,
0.5690,72,6.6,21.6,0.0070,,
0.5775,73,8.4,21.6,0.0075,,
0.5860,74,10.1,21.6,0.0075,,
0.5945,75,11.5,21.6,0.0070,,
0.6030,76,12.3,21.6,0.0070,,
0.6115,77,13.2,21.6,0.0070,,
0.6190,78,15.4,21.6,0.0070,,
0.6275,79,16.4,21.6,0.0075,,
0.6360,80,17.4,21.6,0.0070,,
0.6440,81,18.3,21.6,0.0065,,
0.6525,82,19.2,21.6,0.0070,,
0.6610,83,20.5,21.6,0.0070,,
0.6685,84,22.0,21.6,0.0070,,
0.6770,85,23.0,21.6,0.0075,,
0.6855,86,23.6,21.6,0.0070,,
0.6940,87,24.6,21.6,0.0070,,
0.7025,88,25.1,21.6,0.0070,,
0.7105,89,26.1,21.6,0.0075,,
0.7185,90,26.8,21.6,0.0075,,
0.7265,91,28.1,21.6,0.0075,,
0.7350,92,29.4,21.6,0.0070,,
0.7435,93,30.8,21.6,0.0070,,
0.7520,94,31.9,21.6,0.0070,,
0.7605,95,32.7,21.6,0.0070,,
0.7680,96,33.5,21.6,0.0070,,
0.7765,97,34.4,21.6,0.0075,,
0.7850,98,34.9,21.6,0.0070,,
0.7930,99,35.6,21.6,0.0065,,
0.8015,100,37.0,21.6,0.0070,,
0.8100,101,37.4,21.6,0.0070,,
0.8175,102,38.8,21.6,0.0070,,
0.8260,103,39.6,21.6,0.0075,,
0.8345,104,40.3,21.6,0.0075,,
0.8430,105,41.1,21.6,0.0070,,
0.8515,106,42.1,21.6,0.0070,,
0.8595,107,43.3,21.6,0.0065,,
0.8675,108,44.1,21.6,0.0075,,
0.8755,109,44.7,21.6,0.0075,,
0.8840,110,45.3,21.6,0.0075,,
0.8925,111,46.5,21.6,0.0070,,
0.9010,112,47.6,21.6,0.0070,,
0.9095,113,48.5,21.6,0.0070,,
0.9170,114,49.3,21.6,0.0070,,
0.9255,115,49.9,21.6,0.0075,,
0.9340,116,51.0,21.6,0.0075,,
0.9420,117,52.2,21.6,0.0065,,
0.9505,118,53.1,21.6,0.0070,,
0.9590,119,53.8,21.6,0.0070,,
0.9675,120,54.4,21.6,0.0075,,
0.9750,121,55.1,21.6,0.0070,,
0.9835,122,56.0,21.6,0.0075,,
0.9920,123,57.2,21.6,0.0070,,
1.0005,124,58.5,21.6,0.0070,,
1.0090,125,59.7,21.6,0.0070,,
1.0165,126,60.3,21.6,0.0070,,
1.0245,127,61.2,21.6,0.0075,,
1.0330,128,62.3,21.6,0.0075,,
1.0415,129,63.3,21.6,0.0070,,
1.0500,130,64.3,21.6,0.0070,,
1.0585,131,65.7,21.6,0.0070,,
1.0660,132,66.6,21.6,0.0070,,
1.0745,133,67.8,21.6,0.0075,,
1.0830,134,69.0,21.6,0.0075,,
1.0915,135,70.2,21.6,0.0070,,
1.0995,136,71.7,21.6,0.0065,,
1.1080,137,72.6,21.6,0.0070,,
1.1155,138,73.4,21.6,0.0070,,
1.1240,139,75.4,21.6,0.0075,,
1.1325,140,77.0,21.6,0.0075,,
1.1410,141,78.7,21.6,0.0070,,
1.1495,142,80.6,21.6,0.0070,,
1.1580,143,81.8,21.6,0.0070,,
1.1655,144,82.7,21.6,0.0070,,
1.1735,145,84.8,21.6,0.0075,,
1.1820,146,86.4,21.6,0.0075,,
1.1905,147,88.6,21.6,0.0070,,
1.1990,148,90.6,21.6,0.0070,,
1.2075,149,93.0,21.6,0.0070,,
1.2150,150,94.6,21.6,0.0070,,
1.2235,151,97.4,21.6,0.0075,,
1.2320,152,100.5,21.6,0.0075,,
1.2400,153,104.6,21.6,0.0065,,
1.2485,154,108.1,21.6,0.0070,,
1.2570,155,111.7,21.6,0.0070,,
1.2655,156,116.0,21.6,0.0070,,
1.2730,157,119.3,21.6,0.0070,,
1.2815,158,123.9,21.6,0.0075,,
1.2900,159,128.9,21.6,0.0075,,
1.2985,160,134.0,21.6,0.0070,,
1.3065,161,139.0,21.6,0.0065,,
1.3150,162,144.2,21.6,0.0070,,
1.3225,163,148.5,21.6,0.0070,,
1.3310,164,153.4,21.6,0.0075,,
1.3395,165,157.6,21.6,0.0075,,
1.3480,166,161.3,21.6,0.0070,,
1.3565,167,165.1,21.6,0.0070,,
1.3650,168,167.9,21.6,0.0070,,
1.3725,169,170.4,21.6,0.0070,,
1.3810,170,173.1,21.6,0.0075,,
1.3890,171,175.3,21.6,0.0075,,
1.3975,172,177.6,21.6,0.0070,,
1.4060,173,179.8,21.6,0.0070,,
1.4140,174,181.7,21.6,0.0065,,
1.4215,175,183.2,21.6,0.0070,,
1.4285,176,185.1,21.6,0.0065,,
1.4330,177,186.5,21.6,0.0040,,
1.4355,178,187.5,21.6,0.0020,,
1.4365,179,188.0,21.6,0.0010,,
1.4370,180,188.3,21.6,0.0005,,
1.4380,181,188.3,21.6,0.0010,,
1.4395,182,188.5,21.6,0.0015,,
1.4415,183,188.5,21.6,0.0015,,
1.4415,184,188.6,21.6,0.0000,,
1.4455,185,188.9,21.6,0.0035,,
1.4460,186,189.1,21.6,0.0005,,
1.4470,187,190.0,21.6,0.0010,,
Result,TitrationEP2
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,189.6,21.9,NaN,,
0.0005,1,189.5,21.9,0.0005,,
0.0020,2,189.4,21.9,0.0015,,
0.0050,3,189.6,21.9,0.0025,,
0.0085,4,190.6,21.9,0.0030,,
0.0150,5,191.4,21.9,0.0055,,
0.0235,6,192.2,21.9,0.0070,,
0.0310,7,193.2,21.9,0.0070,,
0.0395,8,194.4,21.9,0.0075,,
0.0480,9,195.8,21.9,0.0070,,
0.0565,10,196.6,21.9,0.0070,,
0.0645,11,197.6,21.9,0.0065,,
0.0730,12,198.6,21.9,0.0070,,
0.0805,13,199.7,21.9,0.0070,,
0.0890,14,200.5,21.9,0.0075,,
0.0975,15,201.5,21.9,0.0075,,
0.1060,16,202.5,21.9,0.0070,,
0.1145,17,203.2,21.9,0.0070,,
0.1230,18,204.1,21.9,0.0070,,
0.1305,19,204.6,21.9,0.0070,,
0.1390,20,205.4,21.9,0.0075,,
0.1470,21,206.1,21.9,0.0075,,
0.1555,22,206.7,21.9,0.0070,,
0.1640,23,206.8,21.9,0.0070,,
0.1725,24,207.6,21.9,0.0070,,
0.1800,25,208.6,21.9,0.0070,,
0.1885,26,209.6,21.9,0.0075,,
0.1970,27,210.3,21.9,0.0075,,
0.2055,28,210.7,21.9,0.0070,,
0.2135,29,211.4,21.9,0.0065,,
0.2220,30,212.2,21.9,0.0070,,
0.2295,31,212.8,21.9,0.0070,,
0.2380,32,213.1,21.9,0.0075,,
0.2465,33,213.4,21.9,0.0075,,
0.2550,34,213.9,21.9,0.0070,,
0.2635,35,215.0,21.9,0.0070,,
0.2720,36,215.4,21.9,0.0070,,
0.2795,37,216.0,21.9,0.0070,,
0.2880,38,216.5,21.9,0.0075,,
0.2960,39,217.0,21.9,0.0075,,
0.3045,40,217.4,21.9,0.0070,,
0.3130,41,217.7,21.9,0.0070,,
0.3215,42,218.0,21.9,0.0070,,
0.3290,43,218.8,21.9,0.0070,,
0.3375,44,219.3,21.9,0.0075,,
0.3460,45,219.7,21.9,0.0075,,
0.3545,46,219.8,21.9,0.0070,,
0.3625,47,220.3,21.9,0.0065,,
0.3710,48,220.5,21.9,0.0070,,
0.3785,49,220.9,21.9,0.0070,,
0.3870,50,221.5,21.9,0.0075,,
0.3955,51,221.9,21.9,0.0075,,
0.4040,52,222.5,21.9,0.0070,,
0.4125,53,223.0,21.9,0.0070,,
0.4210,54,223.2,21.9,0.0070,,
0.4285,55,223.6,21.9,0.0070,,
0.4370,56,224.0,21.9,0.0075,,
0.4455,57,223.9,21.9,0.0070,,
0.4540,58,224.2,21.9,0.0070,,
0.4620,59,224.8,21.9,0.0065,,
0.4705,60,225.5,21.9,0.0070,,
0.4780,61,225.5,21.9,0.0070,,
0.4865,62,225.3,21.9,0.0075,,
0.4950,63,225.5,21.9,0.0075,,
0.5035,64,225.7,21.9,0.0070,,
0.5120,65,226.3,21.9,0.0070,,
0.5200,66,226.3,21.9,0.0065,,
0.5285,67,226.6,21.9,0.0075,,
0.5360,68,227.0,21.9,0.0070,,
0.5445,69,227.4,21.9,0.0075,,
0.5530,70,227.5,21.9,0.0070,,
0.5615,71,227.8,21.9,0.0070,,
0.5700,72,228.3,21.9,0.0070,,
0.5775,73,228.4,21.9,0.0070,,
0.5860,74,228.9,21.9,0.0075,,
0.5945,75,229.5,21.9,0.0075,,
0.6025,76,229.8,21.9,0.0065,,
0.6110,77,230.1,21.9,0.0070,,
0.6195,78,230.3,21.9,0.0070,,
0.6270,79,230.4,21.9,0.0070,,
0.6355,80,230.9,21.9,0.0075,,
0.6440,81,231.0,21.9,0.0075,,
0.6525,82,231.4,21.9,0.0070,,
0.6610,83,231.7,21.9,0.0070,,
0.6690,84,232.1,21.9,0.0065,,
0.6770,85,232.3,21.9,0.0075,,
0.6850,86,232.1,21.9,0.0075,,
0.6935,87,232.3,21.9,0.0075,,
0.7020,88,232.4,21.9,0.0070,,
0.7105,89,233.0,21.9,0.0070,,
0.7190,90,233.7,21.9,0.0070,,
0.7265,91,234.0,21.9,0.0070,,
0.7350,92,234.5,21.9,0.0075,,
0.7435,93,234.7,21.9,0.0070,,
0.7520,94,235.1,21.9,0.0070,,
0.7600,95,235.2,21.9,0.0065,,
0.7685,96,235.5,21.9,0.0070,,
0.7760,97,235.4,21.9,0.0070,,
0.7845,98,235.8,21.9,0.0075,,
0.7930,99,236.2,21.9,0.0070,,
0.8015,100,236.4,21.9,0.0070,,
0.8100,101,236.4,21.9,0.0070,,
0.8185,102,236.8,21.9,0.0075,,
0.8255,103,237.1,21.9,0.0065,,
0.8340,104,237.3,21.9,0.0075,,
0.8425,105,237.1,21.9,0.0070,,
0.8505,106,237.3,21.9,0.0065,,
0.8585,107,237.2,21.9,0.0065,,
0.8660,108,237.8,21.9,0.0060,,
0.8735,109,237.6,21.9,0.0070,,
0.8815,110,238.0,21.9,0.0075,,
0.8870,111,238.1,21.9,0.0050,,
0.8880,112,238.3,21.9,0.0010,,
0.8890,113,238.3,21.9,0.0010,,
0.8910,114,238.6,21.9,0.0015,,
0.8930,115,238.3,21.9,0.0020,,
0.8965,116,238.5,21.9,0.0030,,
0.8995,117,238.6,21.9,0.0025,,
0.9030,118,238.8,21.9,0.0030,,
0.9050,119,238.5,21.9,0.0015,,
0.9055,120,238.1,21.9,0.0005,,
0.9065,121,238.4,21.9,0.0010,,
0.9070,122,238.5,21.9,0.0005,,
0.9075,123,238.5,21.9,0.0005,,
0.9085,124,238.2,21.9,0.0010,,
0.9095,125,238.2,21.9,0.0010,,
0.9115,126,238.3,21.9,0.0015,,
0.9130,127,238.4,21.9,0.0015,,
0.9135,128,238.8,21.9,0.0005,,
0.9140,129,239.5,21.9,0.0005,,
0.9155,130,239.5,21.9,0.0010,,
0.9160,131,239.4,21.9,0.0005,,
0.9165,132,239.2,21.9,0.0005,,
0.9185,133,239.4,21.9,0.0020,,
0.9200,134,239.6,21.9,0.0015,,
0.9210,135,239.2,21.9,0.0010,,
0.9220,136,238.7,21.9,0.0010,,
0.9235,137,238.8,21.9,0.0010,,
0.9240,138,238.5,21.9,0.0005,,
0.9250,139,238.6,21.9,0.0010,,
0.9255,140,238.6,21.9,0.0005,,
0.9265,141,238.7,21.9,0.0010,,
0.9275,142,238.6,21.9,0.0010,,
0.9280,143,238.7,21.9,0.0005,,
0.9290,144,238.9,21.9,0.0010,,
0.9295,145,238.7,21.9,0.0005,,
0.9305,146,239.1,21.9,0.0010,,
0.9310,147,239.0,21.9,0.0005,,
0.9320,148,239.6,21.9,0.0010,,
0.9330,149,239.5,21.9,0.0010,,
0.9340,150,239.2,21.9,0.0010,,
0.9350,151,239.5,21.9,0.0010,,
0.9360,152,239.0,21.9,0.0010,,
0.9365,153,240.0,21.9,0.0010,,
Scope 1/1, Sample 5/9 (2-Aug-16 Bin5)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-97.5,21.7,NaN,,
0.0005,1,-101.6,21.6,0.0005,,
0.0020,2,-101.3,21.6,0.0010,,
0.0050,3,-101.3,21.6,0.0025,,
0.0090,4,-101.1,21.6,0.0030,,
0.0150,5,-101.2,21.6,0.0045,,
0.0225,6,-101.4,21.6,0.0060,,
0.0310,7,-101.2,21.6,0.0070,,
0.0395,8,-101.1,21.6,0.0070,,
0.0480,9,-100.7,21.6,0.0065,,
0.0565,10,-100.1,21.6,0.0065,,
0.0650,11,-99.7,21.6,0.0065,,
0.0725,12,-98.7,21.6,0.0060,,
0.0810,13,-98.1,21.6,0.0070,,
0.0895,14,-97.7,21.6,0.0070,,
0.0975,15,-97.2,21.6,0.0060,,
0.1060,16,-96.4,21.6,0.0065,,
0.1145,17,-95.7,21.6,0.0065,,
0.1220,18,-94.7,21.6,0.0060,,
0.1305,19,-93.9,21.6,0.0070,,
0.1390,20,-93.2,21.6,0.0070,,
0.1475,21,-92.6,21.6,0.0065,,
0.1560,22,-91.8,21.6,0.0065,,
0.1640,23,-90.9,21.6,0.0060,,
0.1720,24,-90.0,21.6,0.0065,,
0.1800,25,-88.7,21.6,0.0065,,
0.1885,26,-87.8,21.6,0.0070,,
0.1970,27,-86.7,21.6,0.0065,,
0.2055,28,-85.7,21.6,0.0065,,
0.2140,29,-84.8,21.6,0.0065,,
0.2215,30,-83.9,21.6,0.0060,,
0.2300,31,-83.0,21.6,0.0070,,
0.2385,32,-81.7,21.6,0.0070,,
0.2465,33,-79.9,21.6,0.0060,,
0.2550,34,-78.3,21.6,0.0065,,
0.2635,35,-77.1,21.6,0.0065,,
0.2720,36,-75.8,21.6,0.0070,,
0.2795,37,-74.5,21.6,0.0065,,
0.2880,38,-73.1,21.6,0.0070,,
0.2965,39,-71.8,21.6,0.0065,,
0.3050,40,-70.6,21.6,0.0065,,
0.3130,41,-69.6,21.6,0.0060,,
0.3215,42,-67.2,21.6,0.0070,,
0.3290,43,-65.7,21.6,0.0060,,
0.3375,44,-64.2,21.6,0.0070,,
0.3460,45,-62.5,21.6,0.0065,,
0.3545,46,-60.5,21.6,0.0065,,
0.3630,47,-58.6,21.6,0.0065,,
0.3715,48,-56.3,21.6,0.0070,,
0.3790,49,-53.8,21.6,0.0060,,
0.3875,50,-51.5,21.6,0.0070,,
0.3955,51,-48.8,21.6,0.0065,,
0.4040,52,-46.1,21.6,0.0065,,
0.4125,53,-43.4,21.6,0.0065,,
0.4210,54,-40.6,21.6,0.0065,,
0.4285,55,-37.0,21.6,0.0060,,
0.4370,56,-33.4,21.6,0.0070,,
0.4455,57,-29.9,21.6,0.0070,,
0.4540,58,-26.5,21.6,0.0065,,
0.4620,59,-22.4,21.6,0.0060,,
0.4705,60,-18.0,21.6,0.0065,,
0.4780,61,-13.7,21.6,0.0060,,
0.4865,62,-10.7,21.6,0.0070,,
0.4950,63,-7.7,21.6,0.0065,,
0.5035,64,-5.1,21.6,0.0065,,
0.5120,65,-1.9,21.6,0.0065,,
0.5205,66,0.1,21.6,0.0070,,
0.5280,67,2.5,21.6,0.0060,,
0.5365,68,4.3,21.6,0.0070,,
0.5450,69,6.2,21.6,0.0065,,
0.5530,70,7.8,21.6,0.0060,,
0.5615,71,9.5,21.6,0.0065,,
0.5700,72,10.5,21.6,0.0070,,
0.5775,73,12.1,21.6,0.0060,,
0.5860,74,13.5,21.6,0.0070,,
0.5945,75,14.8,21.6,0.0065,,
0.6030,76,15.6,21.6,0.0065,,
0.6110,77,16.5,21.6,0.0060,,
0.6195,78,17.1,21.6,0.0070,,
0.6270,79,18.3,21.6,0.0060,,
0.6355,80,19.5,21.6,0.0070,,
0.6440,81,20.9,21.6,0.0065,,
0.6525,82,22.3,21.6,0.0065,,
0.6610,83,23.4,21.6,0.0065,,
0.6695,84,23.7,21.6,0.0070,,
0.6770,85,24.3,21.6,0.0060,,
0.6855,86,25.3,21.6,0.0070,,
0.6940,87,26.4,21.6,0.0065,,
0.7020,88,27.6,21.6,0.0060,,
0.7105,89,28.5,21.6,0.0065,,
0.7190,90,29.5,21.6,0.0070,,
0.7265,91,30.8,21.6,0.0060,,
0.7350,92,32.0,21.6,0.0070,,
0.7435,93,32.7,21.6,0.0065,,
0.7520,94,33.6,21.6,0.0065,,
0.7605,95,34.8,21.6,0.0065,,
0.7680,96,35.3,21.6,0.0060,,
0.7765,97,36.0,21.6,0.0070,,
0.7845,98,36.6,21.6,0.0065,,
0.7930,99,37.5,21.6,0.0065,,
0.8015,100,38.3,21.6,0.0065,,
0.8100,101,39.3,21.6,0.0065,,
0.8185,102,39.8,21.6,0.0065,,
0.8260,103,40.6,21.6,0.0060,,
0.8345,104,41.5,21.6,0.0070,,
0.8430,105,42.5,21.6,0.0065,,
0.8510,106,43.3,21.6,0.0060,,
0.8595,107,44.1,21.6,0.0065,,
0.8680,108,45.0,21.6,0.0065,,
0.8755,109,45.6,21.6,0.0060,,
0.8840,110,46.9,21.6,0.0070,,
0.8925,111,47.6,21.6,0.0065,,
0.9010,112,48.4,21.6,0.0065,,
0.9095,113,49.3,21.6,0.0065,,
0.9175,114,50.0,21.6,0.0060,,
0.9255,115,51.0,21.6,0.0065,,
0.9335,116,51.8,21.6,0.0065,,
0.9420,117,52.8,21.6,0.0070,,
0.9505,118,54.2,21.6,0.0065,,
0.9590,119,54.9,21.6,0.0065,,
0.9675,120,55.6,21.6,0.0065,,
0.9750,121,56.3,21.6,0.0060,,
0.9835,122,57.7,21.6,0.0070,,
0.9920,123,58.9,21.6,0.0070,,
1.0000,124,60.2,21.6,0.0060,,
1.0085,125,61.7,21.6,0.0065,,
1.0170,126,62.4,21.6,0.0070,,
1.0245,127,63.4,21.6,0.0060,,
1.0330,128,64.5,21.6,0.0070,,
1.0415,129,65.9,21.6,0.0065,,
1.0500,130,67.0,21.6,0.0065,,
1.0585,131,68.1,21.6,0.0065,,
1.0670,132,69.0,21.6,0.0070,,
1.0745,133,69.9,21.6,0.0060,,
1.0830,134,70.9,21.6,0.0065,,
1.0910,135,71.7,21.6,0.0060,,
1.0995,136,73.3,21.6,0.0065,,
1.1080,137,75.2,21.6,0.0065,,
1.1165,138,76.7,21.6,0.0070,,
1.1240,139,78.0,21.6,0.0060,,
1.1325,140,79.3,21.6,0.0070,,
1.1410,141,80.6,21.6,0.0065,,
1.1495,142,82.5,21.6,0.0065,,
1.1575,143,84.4,21.6,0.0060,,
1.1660,144,86.0,21.6,0.0070,,
1.1735,145,88.3,21.6,0.0060,,
1.1820,146,90.4,21.6,0.0070,,
1.1905,147,92.4,21.6,0.0065,,
1.1990,148,95.2,21.6,0.0065,,
1.2075,149,97.2,21.6,0.0065,,
1.2160,150,100.4,21.6,0.0070,,
1.2235,151,103.3,21.6,0.0060,,
1.2320,152,106.2,21.6,0.0070,,
1.2400,153,110.3,21.6,0.0060,,
1.2485,154,114.2,21.7,0.0065,,
1.2570,155,118.8,21.7,0.0065,,
1.2655,156,123.2,21.7,0.0065,,
1.2730,157,126.7,21.6,0.0060,,
1.2815,158,131.1,21.6,0.0070,,
1.2900,159,136.5,21.6,0.0070,,
1.2985,160,142.4,21.6,0.0065,,
1.3065,161,146.8,21.7,0.0060,,
1.3150,162,151.4,21.6,0.0065,,
1.3225,163,155.6,21.6,0.0060,,
1.3310,164,159.0,21.7,0.0070,,
1.3395,165,162.8,21.7,0.0070,,
1.3480,166,166.1,21.7,0.0065,,
1.3565,167,168.7,21.7,0.0065,,
1.3650,168,172.2,21.7,0.0065,,
1.3725,169,174.0,21.7,0.0060,,
1.3810,170,176.4,21.7,0.0070,,
1.3890,171,178.3,21.7,0.0065,,
1.3975,172,180.0,21.7,0.0065,,
1.4060,173,181.8,21.7,0.0065,,
1.4140,174,183.7,21.7,0.0060,,
1.4185,175,185.2,21.7,0.0035,,
1.4195,176,186.6,21.7,0.0010,,
1.4200,177,187.5,21.7,0.0005,,
1.4210,178,187.7,21.7,0.0010,,
1.4225,179,187.8,21.7,0.0010,,
1.4240,180,188.2,21.6,0.0010,,
1.4255,181,188.1,21.7,0.0010,,
1.4275,182,188.3,21.7,0.0015,,
1.4285,183,188.9,21.7,0.0010,,
1.4290,184,189.2,21.7,0.0005,,
1.4295,185,189.4,21.7,0.0005,,
1.4305,186,189.5,21.7,0.0010,,
1.4310,187,189.6,21.7,0.0005,,
1.4320,188,189.8,21.7,0.0010,,
1.4330,189,190.0,21.7,0.0010,,
1.4335,190,190.1,21.7,0.0005,,
Result,TitrationEP2
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,190.3,22.0,NaN,,
0.0005,1,190.1,22.0,0.0005,,
0.0020,2,190.0,22.0,0.0015,,
0.0050,3,189.9,22.0,0.0025,,
0.0085,4,190.3,21.9,0.0030,,
0.0150,5,190.9,22.0,0.0055,,
0.0230,6,191.7,22.0,0.0065,,
0.0310,7,192.8,22.0,0.0075,,
0.0390,8,194.2,22.0,0.0075,,
0.0475,9,194.8,22.0,0.0075,,
0.0560,10,195.7,21.9,0.0070,,
0.0645,11,196.7,22.0,0.0070,,
0.0730,12,197.8,21.9,0.0070,,
0.0815,13,199.2,21.9,0.0070,,
0.0890,14,200.7,21.9,0.0070,,
0.0970,15,201.4,21.9,0.0075,,
0.1055,16,201.9,21.9,0.0070,,
0.1140,17,202.6,21.9,0.0070,,
0.1225,18,203.6,22.0,0.0070,,
0.1310,19,204.5,21.9,0.0070,,
0.1385,20,205.6,21.9,0.0070,,
0.1470,21,206.4,21.9,0.0075,,
0.1555,22,207.2,21.9,0.0075,,
0.1635,23,207.9,22.0,0.0065,,
0.1720,24,208.5,21.9,0.0070,,
0.1805,25,209.2,22.0,0.0070,,
0.1880,26,209.6,21.9,0.0070,,
0.1965,27,210.2,21.9,0.0075,,
0.2050,28,211.1,21.9,0.0075,,
0.2135,29,211.7,22.0,0.0070,,
0.2220,30,212.2,21.9,0.0070,,
0.2300,31,212.6,21.9,0.0065,,
0.2380,32,213.1,21.9,0.0075,,
0.2465,33,213.1,21.9,0.0075,,
0.2545,34,213.6,21.9,0.0075,,
0.2630,35,214.4,22.0,0.0070,,
0.2715,36,214.7,22.0,0.0070,,
0.2800,37,214.9,22.0,0.0070,,
0.2875,38,215.6,22.0,0.0070,,
0.2960,39,216.4,21.9,0.0075,,
0.3045,40,217.1,22.0,0.0070,,
0.3130,41,217.7,21.9,0.0070,,
0.3215,42,218.3,22.0,0.0070,,
0.3290,43,218.8,21.9,0.0070,,
0.3375,44,219.3,22.0,0.0075,,
0.3455,45,219.6,21.9,0.0075,,
0.3540,46,220.2,21.9,0.0070,,
0.3625,47,220.6,21.9,0.0070,,
0.3710,48,221.0,22.0,0.0070,,
0.3785,49,221.5,22.0,0.0070,,
0.3870,50,221.7,22.0,0.0075,,
0.3955,51,222.0,21.9,0.0075,,
0.4040,52,222.5,21.9,0.0070,,
